,date,week,year,seasonNumber,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,awayQB,homeQB,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,over/under
181,November 27,13,1978,59,San Francisco 49ers,Pittsburgh Steelers,Chuck Noll,,1-12,11-2,outdoors,astroturf,Pittsburgh Steelers -7.5,Terry Bradshaw,Scott Bull,22,12,53-212-0,29-67-1,13-21-195-3-1,10-28-113-0-5,2-27,4-39,168,74,380,141,5-3,0-0,4,5,13-102,1-5,
182,December 3,14,1978,59,Tampa Bay Buccaneers,Green Bay Packers,John McKay,Bart Starr,5-9,8-5-1,outdoors,grass,Tampa Bay Buccaneers -1.5,David Whitehurst,Mike Rae,11,20,30-65-1,40-177-1,13-19-113-1-1,14-32-178-0-2,1-5,5-34,108,144,173,321,1-0,3-1,1,3,4-29,6-58,
183,December 3,14,1978,59,Washington Redskins,Miami Dolphins,Jack Pardee,Don Shula,8-6,9-5,outdoors,grass,Miami Dolphins -3.0,Bob Griese,Joe Theismann,19,16,43-153-0,27-123-0,14-27-170-1-1,12-28-177-0-4,3-28,2-10,142,167,295,290,0-0,0-0,1,4,3-25,6-55,
184,December 3,14,1978,59,New York Giants,Los Angeles Rams,John McVay,Ray Malavasi,5-9,11-3,outdoors,astroturf,Los Angeles Rams -7.5,Pat Haden,Joe Pisarcik,13,18,36-98-1,38-185-1,12-25-102-0-0,12-34-155-1-4,1-8,1-7,94,148,192,333,2-0,1-1,0,5,8-50,6-40,
185,December 3,14,1978,59,New York Jets,Baltimore Colts,Walt Michaels,Ted Marchibroda,8-6,5-9,outdoors,grass,New York Jets -7.0,Bill Troup,Matt Robinson,17,19,34-169-1,42-202-1,14-27-119-0-1,7-18-186-2-2,5-44,2-11,75,175,244,377,2-1,2-2,2,4,8-65,7-79,
186,December 3,14,1978,59,Cincinnati Bengals,Atlanta Falcons,Leeman Bennett,,2-12,8-6,outdoors,astroturf,Cincinnati Bengals -1.5,Steve Bartkowski,Ken Anderson,10,20,22-83-1,38-223-3,10-29-126-0-3,14-30-153-0-0,4-35,2-16,91,137,174,360,0-0,2-0,3,0,8-85,8-68,
187,December 3,14,1978,59,New Orleans Saints,San Francisco 49ers,Dick Nolan,,6-8,1-13,dome,astroturf,New Orleans Saints -7.0,Scott Bull,Archie Manning,14,24,38-159-0,39-193-1,9-27-147-1-1,22-34-199-2-1,5-19,1-9,128,190,287,383,4-2,3-3,3,4,8-68,5-33,
188,December 3,14,1978,59,Kansas City Chiefs,Buffalo Bills,Marv Levy,Chuck Knox,4-10,4-10,outdoors,astroturf,Kansas City Chiefs -6.0,Joe Ferguson,Mike Livingston,16,21,34-136-0,47-241-1,14-25-207-1-3,12-21-99-1-1,0-0,0-0,207,99,343,340,4-2,1-0,5,1,6-54,8-47,
189,December 3,14,1978,59,Minnesota Vikings,Philadelphia Eagles,Bud Grant,Dick Vermeil,8-5-1,8-6,outdoors,grass,Minnesota Vikings -3.0,Ron Jaworski,Fran Tarkenton,18,23,35-163-1,25-80-0,13-29-228-3-1,30-56-289-4-3,2-15,0-0,213,289,376,369,1-0,2-0,1,3,9-109,9-62,
190,December 3,14,1978,59,St. Louis Cardinals,Detroit Lions,Bud Wilkinson,Monte Clark,5-9,5-9,outdoors,astroturf,St. Louis Cardinals -1.0,Gary Danielson,Jim Hart,16,18,32-105-0,36-133-2,12-28-152-2-5,12-24-161-1-1,4-33,1-10,119,151,224,284,4-0,0-0,5,1,10-75,10-67,
191,December 3,14,1978,59,Houston Oilers,Pittsburgh Steelers,Bum Phillips,Chuck Noll,9-5,12-2,dome,astroturf,Houston Oilers -2.5,Terry Bradshaw,Dan Pastorini,17,9,48-177-0,26-81-0,11-24-97-1-1,10-27-91-0-3,2-23,1-8,74,83,251,164,1-1,4-3,2,6,7-60,5-35,
192,December 3,14,1978,59,Dallas Cowboys,New England Patriots,Tom Landry,Chuck Fairbanks,10-4,10-4,outdoors,astroturf,Dallas Cowboys -6.5,Steve Grogan,Roger Staubach,16,17,36-213-1,35-99-0,13-29-170-0-2,15-27-243-2-0,3-20,2-13,150,230,363,329,4-1,4-1,3,1,4-36,1-10,
193,December 3,14,1978,59,Seattle Seahawks,Cleveland Browns,Jack Patera,Sam Rutigliano,8-6,7-7,dome,astroturf,Seattle Seahawks -3.0,Brian Sipe,Jim Zorn,24,28,24-193-0,42-183-4,21-41-269-3-3,17-27-235-1-1,1-10,0-0,259,235,452,418,4-3,1-1,6,2,12-98,8-80,
194,December 3,14,1978,59,Oakland Raiders,Denver Broncos,John Madden,Red Miller,8-6,9-5,outdoors,grass,Oakland Raiders -4.0,Craig Morton,Ken Stabler,16,20,43-147-1,30-101-0,6-11-54-1-0,24-35-228-0-3,2-9,4-50,45,178,192,279,1-1,4-2,1,5,7-50,6-65,
195,December 4,14,1978,59,San Diego Chargers,Chicago Bears,Neill Armstrong,,7-7,5-9,outdoors,grass,San Diego Chargers -6.0,Bob Avellini,Dan Fouts,7,24,27-80-0,43-150-2,5-17-72-0-2,19-30-332-3-3,5-40,1-1,32,331,112,481,2-1,1-0,3,3,3-25,3-15,
196,December 9,15,1978,59,Pittsburgh Steelers,Baltimore Colts,Chuck Noll,Ted Marchibroda,13-2,5-10,outdoors,astroturf,Pittsburgh Steelers -10.5,Bill Troup,Terry Bradshaw,12,20,27-86-0,48-139-2,8-19-62-1-2,12-21-247-3-2,2-19,2-13,43,234,129,373,5-3,1-1,5,3,6-50,6-35,
197,December 9,15,1978,59,Detroit Lions,Minnesota Vikings,Monte Clark,Bud Grant,6-9,8-6-1,dome,astroturf,Minnesota Vikings -2.5,Fran Tarkenton,Gary Danielson,16,22,18-22-1,30-157-0,20-36-241-1-2,26-33-352-5-1,2-28,1-2,213,350,235,507,2-1,2-1,3,2,5-28,8-75,
