,date,week,year,seasonNumber,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,awayQB,homeQB,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,over/under
0,September 2,1,1978,59,Tampa Bay Buccaneers,New York Giants,John McKay,John McVay,0-1,1-0,outdoors,grass,Tampa Bay Buccaneers -2.0,Joe Pisarcik,Gary Huff,12,16,35-76-0,39-165-1,12-25-183-1-1,10-28-93-0-3,4-21,1-7,162,86,238,251,0-0,4-1,1,4,7-64,8-55,
1,September 3,1,1978,59,Atlanta Falcons,Houston Oilers,Leeman Bennett,Bum Phillips,1-0,0-1,outdoors,grass,Houston Oilers -3.5,Dan Pastorini,June Jones,13,11,21-156-1,35-100-0,19-36-136-1-2,10-23-104-1-0,4-31,4-33,105,71,261,171,4-2,3-1,4,1,7-52,8-75,
2,September 3,1,1978,59,Buffalo Bills,Pittsburgh Steelers,Chuck Knox,Chuck Noll,0-1,1-0,outdoors,astroturf,Pittsburgh Steelers -10.5,Terry Bradshaw,Bill Munson,21,16,43-142-2,29-100-0,14-19-217-2-1,13-26-191-2-1,0-0,3-27,217,164,359,264,0-0,0-0,1,1,5-54,9-62,
3,September 3,1,1978,59,New Orleans Saints,Minnesota Vikings,Dick Nolan,Bud Grant,1-0,0-1,dome,astroturf,Minnesota Vikings -6.5,Fran Tarkenton,Archie Manning,28,19,32-155-1,34-138-3,28-49-282-2-4,15-22-193-0-0,1-13,2-10,269,183,424,321,4-2,1-1,6,1,7-82,14-127,
4,September 3,1,1978,59,New England Patriots,Washington Redskins,Chuck Fairbanks,Jack Pardee,0-1,1-0,outdoors,astroturf,New England Patriots -9.5,Joe Theismann,Steve Grogan,14,21,37-149-0,40-161-0,10-24-184-1-1,12-31-199-2-2,1-9,3-34,175,165,324,326,3-1,1-1,2,3,6-45,5-55,
5,September 3,1,1978,59,New York Jets,Miami Dolphins,Walt Michaels,Don Shula,1-0,0-1,outdoors,grass,Miami Dolphins -4.0,Don Strock,Richard Todd,16,23,25-154-1,43-153-0,15-29-187-2-2,17-25-245-3-1,1-12,2-18,175,227,329,380,0-0,0-0,2,1,4-35,9-59,
6,September 3,1,1978,59,Detroit Lions,Green Bay Packers,Monte Clark,Bart Starr,0-1,1-0,dome,astroturf,Detroit Lions -8.0,David Whitehurst,Greg Landry,16,11,55-181-1,26-82-1,3-9-31-0-0,10-19-116-0-1,0-0,8-76,31,40,212,122,1-0,3-0,0,1,8-40,9-31,
7,September 3,1,1978,59,Cleveland Browns,San Francisco 49ers,Sam Rutigliano,Pete McCulley,1-0,0-1,outdoors,grass,Cleveland Browns -4.5,Steve DeBerg,Brian Sipe,18,18,40-131-0,41-213-2,16-32-174-1-3,12-26-190-1-0,1-10,1-10,164,180,295,393,4-3,6-3,6,3,8-55,8-62,
8,September 3,1,1978,59,Philadelphia Eagles,Los Angeles Rams,Dick Vermeil,Ray Malavasi,0-1,1-0,outdoors,astroturf,Los Angeles Rams -6.0,Pat Haden,Ron Jaworski,15,10,33-103-0,30-128-0,14-33-154-0-0,7-17-102-1-1,5-37,3-22,117,80,220,208,3-1,2-1,1,2,10-82,3-38,
9,September 3,1,1978,59,Cincinnati Bengals,Kansas City Chiefs,Bill Johnson,Marv Levy,0-1,1-0,outdoors,astroturf,Cincinnati Bengals -8.0,Mike Livingston,John Reaves,26,12,69-267-3,17-77-0,14-20-133-0-0,10-24-159-1-2,1-12,4-31,121,128,388,205,4-2,1-1,2,3,9-80,4-27,
10,September 3,1,1978,59,Chicago Bears,St. Louis Cardinals,Neill Armstrong,Bud Wilkinson,1-0,0-1,outdoors,astroturf,Chicago Bears -3.5,Jim Hart,Bob Avellini,16,19,28-99-0,45-194-2,17-33-152-1-2,8-19-72-0-0,2-15,3-23,137,49,236,243,1-0,1-0,2,0,5-27,4-57,
11,September 3,1,1978,59,Seattle Seahawks,San Diego Chargers,Jack Patera,Tommy Prothro,0-1,1-0,dome,astroturf,San Diego Chargers -6.0,Dan Fouts,Jim Zorn,16,22,28-89-0,38-138-1,14-22-186-2-1,21-32-329-2-1,0-0,3-21,186,308,275,446,2-1,2-1,2,2,3-15,5-52,
12,September 3,1,1978,59,Denver Broncos,Oakland Raiders,Red Miller,John Madden,1-0,0-1,outdoors,grass,Oakland Raiders -4.0,Ken Stabler,Craig Morton,16,13,37-117-0,41-144-1,12-29-212-0-2,5-13-34-1-1,1-11,3-26,201,8,318,152,1-1,1-0,3,1,8-68,2-10,
13,September 4,1,1978,59,Dallas Cowboys,Baltimore Colts,Tom Landry,Ted Marchibroda,1-0,0-1,outdoors,astroturf,Dallas Cowboys -10.5,Mike Kirkland,Roger Staubach,9,25,27-99-0,45-278-1,9-20-116-0-2,19-27-305-4-2,5-34,0-0,82,305,181,583,1-1,1-1,3,3,6-35,4-35,
14,September 9,2,1978,59,Tampa Bay Buccaneers,Detroit Lions,John McKay,Monte Clark,0-2,1-1,outdoors,grass,Detroit Lions -1.0,Greg Landry,Gary Huff,11,10,46-149-0,29-140-1,9-14-69-1-0,6-14-63-0-1,2-22,7-94,47,-31,196,109,3-2,6-5,2,6,8-80,5-45,
15,September 10,2,1978,59,Washington Redskins,Philadelphia Eagles,Jack Pardee,Dick Vermeil,2-0,0-2,outdoors,grass,Washington Redskins -3.5,Ron Jaworski,Joe Theismann,18,19,27-128-3,35-117-1,21-35-222-1-1,14-24-226-3-1,4-37,3-27,185,199,313,316,1-1,2-2,2,3,6-48,7-58,
16,September 10,2,1978,59,New York Giants,Dallas Cowboys,John McVay,Tom Landry,1-1,2-0,outdoors,astroturf,Dallas Cowboys -11.0,Roger Staubach,Joe Pisarcik,32,22,49-189-3,24-100-2,18-28-212-2-1,15-37-261-1-3,0-0,3-18,212,243,401,343,2-1,2-1,2,4,6-60,5-37,
17,September 10,2,1978,59,Pittsburgh Steelers,Seattle Seahawks,Chuck Noll,Jack Patera,2-0,0-2,outdoors,astroturf,Pittsburgh Steelers -13.5,Jim Zorn,Terry Bradshaw,18,26,28-93-1,40-151-1,11-22-174-0-1,17-33-213-2-0,4-20,2-28,154,185,247,336,2-2,2-1,3,1,7-52,8-65,
18,September 10,2,1978,59,Green Bay Packers,New Orleans Saints,Bart Starr,Dick Nolan,2-0,1-1,outdoors,grass,New Orleans Saints -1.5,Archie Manning,David Whitehurst,25,20,23-100-1,37-220-0,33-53-303-1-1,10-15-161-4-0,1-8,1-5,295,156,395,376,1-0,2-2,1,2,4-40,3-20,
19,September 10,2,1978,59,Cleveland Browns,Cincinnati Bengals,Sam Rutigliano,Bill Johnson,2-0,0-2,outdoors,grass,Cleveland Browns -5.5,John Reaves,Brian Sipe,14,20,36-115-0,37-169-0,15-26-169-1-1,16-32-219-1-1,1-7,4-33,162,186,277,355,2-0,2-0,1,1,9-51,11-90,
20,September 10,2,1978,59,Kansas City Chiefs,Houston Oilers,Marv Levy,Bum Phillips,1-1,1-1,outdoors,astroturf,Houston Oilers -4.5,Dan Pastorini,Mike Livingston,15,19,41-179-2,41-261-2,7-13-47-0-0,9-14-60-0-1,0-0,3-26,47,34,226,295,3-1,1-1,1,2,6-50,7-98,
21,September 10,2,1978,59,St. Louis Cardinals,New England Patriots,Bud Wilkinson,Chuck Fairbanks,0-2,1-1,outdoors,astroturf,New England Patriots -6.5,Steve Grogan,Jim Hart,21,9,52-269-1,20-57-0,13-21-172-1-2,12-28-150-1-1,0-0,2-14,172,136,441,193,3-2,3-2,4,3,7-71,7-48,
22,September 10,2,1978,59,Los Angeles Rams,Atlanta Falcons,Ray Malavasi,Leeman Bennett,2-0,1-1,outdoors,grass,Los Angeles Rams -10.0,June Jones,Pat Haden,7,23,28-70-0,46-142-1,5-15-38-0-1,19-36-237-0-2,4-35,2-21,3,216,73,358,5-2,3-2,3,4,10-76,9-78,
23,September 10,2,1978,59,Buffalo Bills,New York Jets,Chuck Knox,Walt Michaels,0-2,2-0,outdoors,astroturf,New York Jets -5.0,Richard Todd,Joe Ferguson,18,17,39-117-0,25-101-0,14-26-196-3-2,20-32-222-2-1,3-25,1-9,171,213,288,314,1-0,1-0,2,1,4-40,9-76,
24,September 10,2,1978,59,Baltimore Colts,Miami Dolphins,Ted Marchibroda,Don Shula,0-2,1-1,outdoors,grass,Miami Dolphins -3.0,Don Strock,Bill Troup,20,18,42-292-2,26-96-0,14-22-163-3-1,17-37-204-0-6,2-15,4-53,148,151,440,247,2-1,4-1,2,7,6-45,4-35,
25,September 10,2,1978,59,San Diego Chargers,Oakland Raiders,Tommy Prothro,John Madden,1-1,1-1,outdoors,grass,Oakland Raiders -5.5,Ken Stabler,Dan Fouts,18,24,18-84-0,53-197-2,15-35-307-2-3,17-29-175-1-0,4-27,0-0,280,175,364,372,3-1,0-0,4,0,4-36,6-55,
26,September 10,2,1978,59,San Francisco 49ers,Chicago Bears,Pete McCulley,Neill Armstrong,0-2,2-0,outdoors,astroturf,Chicago Bears -2.5,Bob Avellini,Steve DeBerg,11,19,37-111-1,41-195-0,7-22-115-0-1,12-32-112-1-3,3-14,0-0,101,112,212,307,1-0,2-1,1,4,8-101,10-91,
27,September 11,2,1978,59,Minnesota Vikings,Denver Broncos,Bud Grant,Red Miller,1-1,1-1,outdoors,grass,Pick,Craig Morton,Fran Tarkenton,18,13,29-102-1,36-101-0,15-32-171-0-3,15-34-120-0-3,6-42,2-15,129,105,231,206,4-3,1-0,6,3,6-50,7-35,
28,September 17,3,1978,59,Detroit Lions,Chicago Bears,Monte Clark,Neill Armstrong,1-2,3-0,dome,astroturf,Chicago Bears -2.5,Bob Avellini,Greg Landry,15,15,45-185-1,27-143-0,9-12-151-1-1,13-27-144-0-0,1-10,6-50,141,94,326,237,1-1,3-2,2,2,5-35,7-47,
29,September 17,3,1978,59,Cincinnati Bengals,Pittsburgh Steelers,Bill Johnson,Chuck Noll,0-3,3-0,outdoors,astroturf,Pittsburgh Steelers -4.5,Terry Bradshaw,John Reaves,26,9,49-212-2,19-56-0,14-20-242-2-1,17-36-123-0-2,1-7,0-0,235,123,447,179,3-3,1-0,4,2,6-56,7-99,
30,September 17,3,1978,59,Atlanta Falcons,Cleveland Browns,Leeman Bennett,Sam Rutigliano,1-2,3-0,outdoors,grass,Pick,Brian Sipe,Steve Bartkowski,17,17,34-110-1,30-87-2,20-35-219-2-0,11-28-188-0-4,3-21,6-41,198,147,308,234,5-3,3-0,3,4,13-133,14-113,
31,September 17,3,1978,59,New York Jets,Seattle Seahawks,Walt Michaels,Jack Patera,2-1,1-2,outdoors,grass,New York Jets -7.0,Jim Zorn,Richard Todd,28,17,40-153-3,32-177-2,19-26-191-0-1,13-24-220-0-3,2-10,2-19,181,201,334,378,1-1,0-0,2,3,4-35,14-100,
32,September 17,3,1978,59,New York Giants,Kansas City Chiefs,John McVay,Marv Levy,2-1,1-2,outdoors,astroturf,New York Giants -4.5,Mike Livingston,Joe Pisarcik,19,16,37-215-1,39-172-1,15-28-171-0-1,15-25-175-2-0,2-21,1-8,150,167,365,339,2-1,1-0,2,0,8-67,6-60,
33,September 17,3,1978,59,Green Bay Packers,Oakland Raiders,Bart Starr,John Madden,2-1,2-1,outdoors,grass,Oakland Raiders -9.5,Ken Stabler,David Whitehurst,28,13,58-348-3,27-79-0,6-16-72-1-4,12-33-126-0-1,0-0,2-9,72,117,420,196,1-0,4-2,4,3,7-56,3-29,
34,September 17,3,1978,59,St. Louis Cardinals,Washington Redskins,Bud Wilkinson,Jack Pardee,0-3,3-0,outdoors,astroturf,Washington Redskins -3.5,Joe Theismann,Jim Hart,16,19,46-255-1,26-132-1,6-14-61-2-0,17-41-217-0-1,1-14,2-21,47,196,302,328,1-0,0-0,0,1,9-56,3-40,
35,September 17,3,1978,59,Minnesota Vikings,Tampa Bay Buccaneers,Bud Grant,John McKay,1-2,1-2,outdoors,grass,Minnesota Vikings -10.0,Doug Williams,Fran Tarkenton,10,15,40-92-1,28-73-0,5-19-63-1-0,25-37-189-1-3,0-0,4-43,63,146,155,219,2-1,3-2,1,5,11-96,8-61,
36,September 17,3,1978,59,New Orleans Saints,Philadelphia Eagles,Dick Nolan,Dick Vermeil,1-2,1-2,dome,astroturf,Pick,Ron Jaworski,Archie Manning,22,14,42-207-0,21-88-1,14-23-182-3-1,17-32-239-1-3,5-16,3-19,166,220,373,308,2-2,2-1,3,4,5-35,10-96,
37,September 17,3,1978,59,Houston Oilers,San Francisco 49ers,Bum Phillips,Pete McCulley,2-1,0-3,dome,astroturf,Houston Oilers -9.5,Steve DeBerg,Dan Pastorini,18,23,26-61-0,50-151-1,20-32-321-2-1,15-24-179-1-1,0-0,0-0,321,179,382,330,2-2,1-1,3,2,7-58,9-66,
38,September 17,3,1978,59,Denver Broncos,San Diego Chargers,Red Miller,Tommy Prothro,2-1,1-2,outdoors,grass,Denver Broncos -4.5,Dan Fouts,Craig Morton,18,21,27-101-1,34-137-2,19-33-230-1-2,18-31-201-1-0,2-16,3-24,214,177,315,314,1-0,0-0,2,0,9-53,10-85,
39,September 17,3,1978,59,Miami Dolphins,Buffalo Bills,Don Shula,Chuck Knox,2-1,0-3,outdoors,grass,Miami Dolphins -12.0,Joe Ferguson,Don Strock,17,18,36-128-1,46-285-3,14-24-245-2-0,7-14-97-1-0,3-24,1-9,221,88,349,373,2-1,4-1,1,1,5-47,4-25,
40,September 17,3,1978,59,Los Angeles Rams,Dallas Cowboys,Ray Malavasi,Tom Landry,3-0,2-1,outdoors,grass,Dallas Cowboys -4.0,Roger Staubach,Pat Haden,21,16,29-96-0,36-98-1,22-46-246-2-4,14-25-227-2-2,3-23,1-8,223,219,319,317,3-1,0-0,5,2,6-34,9-84,
41,September 18,3,1978,59,New England Patriots,Baltimore Colts,Chuck Fairbanks,Ted Marchibroda,1-2,1-2,outdoors,astroturf,New England Patriots -17.5,Bill Troup,Steve Grogan,15,23,36-96-1,48-206-3,11-16-275-3-1,11-33-229-1-3,1-10,1-6,265,223,361,429,4-3,4-1,4,4,4-37,5-55,
42,September 24,4,1978,59,Buffalo Bills,Baltimore Colts,Chuck Knox,Ted Marchibroda,1-3,1-3,outdoors,astroturf,Buffalo Bills -2.5,Bill Troup,Joe Ferguson,16,12,35-182-0,41-129-0,10-27-134-1-3,9-14-154-2-0,1-9,5-36,125,118,307,247,1-0,2-1,3,1,6-60,5-51,
43,September 24,4,1978,59,Washington Redskins,New York Jets,Jack Pardee,Walt Michaels,4-0,2-2,outdoors,grass,Washington Redskins -6.5,Richard Todd,Joe Theismann,11,26,25-102-0,45-256-0,10-23-153-0-2,21-30-209-2-0,6-40,3-38,113,171,215,427,2-1,3-1,3,1,9-74,11-102,
44,September 24,4,1978,59,Pittsburgh Steelers,Cleveland Browns,Chuck Noll,Sam Rutigliano,4-0,3-1,outdoors,astroturf,Pittsburgh Steelers -4.5,Brian Sipe,Terry Bradshaw,19,18,32-97-0,37-139-0,14-32-139-0-2,14-32-208-1-2,5-37,1-8,102,200,199,339,1-0,1-1,2,3,8-68,11-119,
45,September 24,4,1978,59,Houston Oilers,Los Angeles Rams,Bum Phillips,Ray Malavasi,2-2,4-0,dome,astroturf,Los Angeles Rams -2.5,Pat Haden,Dan Pastorini,26,10,50-175-1,23-112-0,17-26-220-0-0,10-20-120-0-1,1-7,0-0,213,120,388,232,4-3,2-1,3,2,1-14,5-29,
46,September 24,4,1978,59,Philadelphia Eagles,Miami Dolphins,Dick Vermeil,Don Shula,2-2,2-2,outdoors,astroturf,Miami Dolphins -2.5,Don Strock,Ron Jaworski,9,20,23-82-0,50-222-1,6-17-76-0-3,13-19-128-1-0,2-15,2-13,61,115,143,337,0-0,1-1,3,1,2-15,5-40,
47,September 24,4,1978,59,Cincinnati Bengals,New Orleans Saints,Bill Johnson,Dick Nolan,0-4,2-2,outdoors,astroturf,Cincinnati Bengals -7.0,Archie Manning,John Reaves,12,14,29-74-2,46-166-0,14-25-208-0-1,9-17-117-1-0,4-28,0-0,180,117,254,283,4-1,3-1,2,1,5-52,5-31,
48,September 24,4,1978,59,Kansas City Chiefs,Denver Broncos,Marv Levy,Red Miller,1-3,3-1,outdoors,astroturf,Denver Broncos -7.0,Craig Morton,Mike Livingston,25,13,58-228-2,41-155-2,12-21-138-1-1,7-10-89-0-1,2-9,0-0,129,89,357,244,1-0,1-1,1,2,6-31,6-40,
49,September 24,4,1978,59,Seattle Seahawks,Detroit Lions,Jack Patera,Monte Clark,2-2,1-3,dome,astroturf,Seattle Seahawks -6.0,Greg Landry,Jim Zorn,15,21,30-132-1,36-87-1,16-26-155-0-0,12-17-189-3-1,2-26,6-31,129,158,261,245,2-0,3-0,0,1,13-100,5-40,
50,September 24,4,1978,59,San Diego Chargers,Green Bay Packers,Tommy Prothro,Bart Starr,1-3,3-1,outdoors,grass,San Diego Chargers -10.0,David Whitehurst,James Harris,9,20,33-118-1,30-91-0,7-14-92-0-1,22-37-214-0-5,10-83,8-60,9,154,127,245,1-1,9-6,2,11,11-105,7-51,
51,September 24,4,1978,59,Dallas Cowboys,St. Louis Cardinals,Tom Landry,Bud Wilkinson,3-1,0-4,outdoors,astroturf,Dallas Cowboys -17.0,Jim Hart,Roger Staubach,16,21,36-115-0,37-216-2,15-30-204-1-0,16-26-182-1-0,1-9,2-9,195,173,310,389,1-0,2-2,0,2,2-15,4-33,
52,September 24,4,1978,59,New York Giants,San Francisco 49ers,John McVay,Pete McCulley,3-1,0-4,outdoors,astroturf,New York Giants -4.5,Steve DeBerg,Joe Pisarcik,13,22,29-104-1,52-256-2,11-33-112-0-4,12-26-154-1-2,3-25,3-28,87,126,191,382,2-1,1-1,5,3,6-29,10-95,
53,September 24,4,1978,59,Tampa Bay Buccaneers,Atlanta Falcons,John McKay,Leeman Bennett,2-2,1-3,outdoors,grass,Atlanta Falcons -2.5,Steve Bartkowski,Doug Williams,13,10,40-148-0,34-94-0,12-24-81-1-3,7-24-95-1-0,1-12,1-13,69,82,217,176,1-0,2-1,3,1,6-55,9-73,
54,September 24,4,1978,59,Oakland Raiders,New England Patriots,John Madden,Chuck Fairbanks,2-2,2-2,outdoors,grass,Oakland Raiders -6.5,Steve Grogan,Ken Stabler,22,14,41-207-2,34-83-1,14-25-219-1-3,13-21-180-1-3,3-22,3-27,197,153,404,236,1-1,0-0,4,3,8-77,4-45,
55,September 25,4,1978,59,Chicago Bears,Minnesota Vikings,Neill Armstrong,Bud Grant,3-1,2-2,outdoors,astroturf,Chicago Bears -3.0,Fran Tarkenton,Bob Avellini,17,23,39-153-1,36-90-2,14-20-152-1-1,22-37-207-0-2,1-10,2-19,142,188,295,278,1-1,3-1,2,3,13-86,5-64,
56,October 1,5,1978,59,Atlanta Falcons,New York Giants,Leeman Bennett,John McVay,2-3,3-2,outdoors,grass,New York Giants -3.0,Joe Pisarcik,Steve Bartkowski,8,22,25-87-1,51-152-2,7-21-86-0-0,14-26-226-1-0,3-27,3-28,59,198,146,350,3-1,3-3,1,3,10-63,8-68,
57,October 1,5,1978,59,Buffalo Bills,Kansas City Chiefs,Chuck Knox,Marv Levy,2-3,1-4,outdoors,astroturf,Buffalo Bills -3.0,Tony Adams,Joe Ferguson,15,17,38-238-1,39-117-2,9-21-83-0-0,15-18-210-2-1,1-13,3-34,70,176,308,293,2-2,3-2,2,3,4-63,6-72,
58,October 1,5,1978,59,New York Jets,Pittsburgh Steelers,Walt Michaels,Chuck Noll,2-3,5-0,outdoors,grass,Pittsburgh Steelers -12.5,Terry Bradshaw,Matt Robinson,20,18,39-138-1,36-155-2,17-26-189-3-1,9-23-192-0-1,0-0,5-50,189,142,327,297,1-1,0-0,2,1,2-7,4-17,
59,October 1,5,1978,59,Cleveland Browns,Houston Oilers,Sam Rutigliano,Bum Phillips,3-2,3-2,outdoors,grass,Cleveland Browns -5.0,Dan Pastorini,Brian Sipe,20,11,46-164-1,23-78-0,14-29-215-1-1,12-32-106-1-3,0-0,1-2,215,104,379,182,3-3,2-1,4,4,7-68,6-45,
60,October 1,5,1978,59,Miami Dolphins,St. Louis Cardinals,Don Shula,Bud Wilkinson,3-2,0-5,outdoors,grass,Miami Dolphins -9.0,Jim Hart,Don Strock,19,16,36-140-0,34-123-1,21-33-211-1-0,12-21-144-2-1,0-0,0-0,211,144,351,267,2-1,0-0,1,1,8-70,3-15,
61,October 1,5,1978,59,Tampa Bay Buccaneers,Minnesota Vikings,John McKay,Bud Grant,2-3,3-2,outdoors,grass,Minnesota Vikings -6.0,Fran Tarkenton,Doug Williams,19,18,37-111-1,24-87-0,20-31-213-1-1,16-35-311-1-3,1-5,2-28,208,283,319,370,1-0,1-0,1,3,5-35,3-25,
62,October 1,5,1978,59,New England Patriots,San Diego Chargers,Chuck Fairbanks,,3-2,1-4,outdoors,astroturf,New England Patriots -7.5,Dan Fouts,Steve Grogan,18,19,38-160-0,32-101-1,14-20-173-3-1,17-29-231-3-1,3-11,3-33,162,198,322,299,3-2,0-0,3,1,6-63,5-39,
63,October 1,5,1978,59,New Orleans Saints,Los Angeles Rams,Dick Nolan,Ray Malavasi,2-3,5-0,dome,astroturf,Los Angeles Rams -9.5,Pat Haden,Archie Manning,15,19,33-124-0,31-143-0,10-21-167-1-1,17-28-208-3-1,1-10,4-36,157,172,281,315,1-0,2-0,1,1,9-74,6-50,
64,October 1,5,1978,59,Baltimore Colts,Philadelphia Eagles,Ted Marchibroda,Dick Vermeil,1-4,3-2,outdoors,grass,Philadelphia Eagles -5.5,Ron Jaworski,Bill Troup,21,13,43-245-1,32-89-1,12-19-141-1-0,13-24-145-1-1,3-24,0-0,117,145,362,234,4-2,2-0,2,1,10-91,6-55,
65,October 1,5,1978,59,Green Bay Packers,Detroit Lions,Bart Starr,Monte Clark,4-1,1-4,outdoors,grass,Green Bay Packers -5.0,Gary Danielson,David Whitehurst,14,16,31-126-0,32-221-3,14-25-151-2-1,15-20-261-2-2,6-50,0-0,101,261,227,482,0-0,3-2,1,4,9-73,11-92,
66,October 1,5,1978,59,San Francisco 49ers,Cincinnati Bengals,Pete McCulley,Bill Johnson,1-4,0-5,outdoors,astroturf,Cincinnati Bengals -2.5,Ken Anderson,Steve DeBerg,18,11,32-103-0,42-113-1,17-35-235-1-5,8-17-66-2-2,2-16,0-0,219,66,322,179,5-3,2-0,8,2,13-133,8-62,
67,October 1,5,1978,59,Chicago Bears,Oakland Raiders,Neill Armstrong,John Madden,3-2,3-2,outdoors,astroturf,Oakland Raiders -6.5,Ken Stabler,Bob Avellini,26,17,39-156-2,37-156-1,25-43-278-0-0,12-18-136-0-2,2-23,2-14,255,122,411,278,1-0,0-0,0,2,8-49,9-87,
68,October 1,5,1978,59,Denver Broncos,Seattle Seahawks,Red Miller,Jack Patera,4-1,2-3,outdoors,grass,Denver Broncos -9.0,Jim Zorn,Norris Weese,19,24,25-92-1,41-204-2,25-39-233-0-3,16-23-181-2-3,1-2,1-12,231,169,323,373,3-2,2-0,5,3,4-20,9-91,
69,October 2,5,1978,59,Washington Redskins,Dallas Cowboys,Jack Pardee,Tom Landry,5-0,3-2,outdoors,grass,Dallas Cowboys -4.5,Roger Staubach,Joe Theismann,19,16,33-109-0,36-127-0,13-30-212-0-1,11-22-156-0-1,1-12,3-32,200,124,309,251,1-1,1-0,2,1,8-44,7-59,
70,October 8,6,1978,59,New England Patriots,Philadelphia Eagles,Chuck Fairbanks,Dick Vermeil,4-2,3-3,outdoors,astroturf,New England Patriots -7.0,Ron Jaworski,Steve Grogan,17,22,24-107-1,50-205-2,18-39-189-1-0,12-24-189-1-1,1-3,0-0,186,189,293,394,5-4,3-3,4,4,7-42,7-54,
71,October 8,6,1978,59,Pittsburgh Steelers,Atlanta Falcons,Chuck Noll,Leeman Bennett,6-0,2-4,outdoors,astroturf,Pittsburgh Steelers -9.0,Steve Bartkowski,Terry Bradshaw,20,28,34-113-0,44-181-3,17-33-188-1-2,13-18-231-1-0,5-44,2-25,144,206,257,387,3-2,4-3,4,3,4-38,8-74,
72,October 8,6,1978,59,New York Jets,Buffalo Bills,Walt Michaels,Chuck Knox,3-3,2-4,outdoors,grass,Buffalo Bills -2.5,Joe Ferguson,Matt Robinson,16,18,35-137-0,45-231-3,12-28-185-2-2,4-10-66-1-0,0-0,2-19,185,47,322,278,2-2,2-1,4,1,10-78,6-35,
73,October 8,6,1978,59,Detroit Lions,Washington Redskins,Monte Clark,Jack Pardee,1-5,6-0,dome,astroturf,Washington Redskins -9.0,Joe Theismann,Gary Danielson,12,19,25-76-0,46-231-1,12-27-220-2-2,15-30-153-0-1,1-12,1-10,208,143,284,374,0-0,1-0,2,1,5-84,6-45,
74,October 8,6,1978,59,Green Bay Packers,Chicago Bears,Bart Starr,Neill Armstrong,5-1,3-3,outdoors,grass,Chicago Bears -1.5,Bob Avellini,David Whitehurst,21,8,40-147-0,36-98-1,23-37-224-2-3,6-12-88-1-0,2-14,2-20,210,68,357,166,3-2,4-2,5,2,8-70,8-50,
75,October 8,6,1978,59,Kansas City Chiefs,Tampa Bay Buccaneers,Marv Levy,John McKay,1-5,3-3,outdoors,astroturf,Kansas City Chiefs -4.5,Doug Williams,Tony Adams,21,15,39-121-3,40-120-0,14-23-226-1-0,15-28-136-1-2,0-0,0-0,226,136,347,256,1-1,0-0,1,2,8-80,9-113,
76,October 8,6,1978,59,St. Louis Cardinals,Baltimore Colts,Bud Wilkinson,Ted Marchibroda,0-6,2-4,outdoors,astroturf,St. Louis Cardinals -2.5,Bill Troup,Jim Hart,14,21,35-156-2,39-145-2,10-17-77-1-1,19-32-230-0-1,1-11,4-32,66,198,222,343,1-1,2-2,2,3,3-35,12-96,
77,October 8,6,1978,59,Dallas Cowboys,New York Giants,Tom Landry,John McVay,4-2,3-3,outdoors,astroturf,Dallas Cowboys -11.0,Jerry Golsteyn,Roger Staubach,10,21,28-102-0,34-157-0,6-20-103-0-1,17-33-246-3-1,8-63,5-46,40,200,142,357,3-1,1-1,2,2,5-55,4-35,
78,October 8,6,1978,59,New Orleans Saints,Cleveland Browns,Dick Nolan,Sam Rutigliano,2-4,4-2,dome,astroturf,Cleveland Browns -3.5,Brian Sipe,Archie Manning,20,21,44-179-2,22-67-1,11-17-103-1-1,24-39-249-1-1,1-11,2-18,92,231,271,298,2-2,1-1,3,2,7-58,10-70,
79,October 8,6,1978,59,Seattle Seahawks,Minnesota Vikings,Jack Patera,Bud Grant,3-3,3-3,dome,astroturf,Minnesota Vikings -5.0,Fran Tarkenton,Jim Zorn,28,23,31-117-2,32-184-3,27-37-274-2-0,17-28-256-1-2,0-0,2-8,274,248,391,432,2-1,1-0,1,2,5-31,8-49,
80,October 8,6,1978,59,San Diego Chargers,Denver Broncos,Red Miller,,2-4,4-2,outdoors,grass,Denver Broncos -1.0,Craig Penrose,Dan Fouts,11,19,16-76-0,45-128-1,8-30-90-0-3,22-34-187-1-1,1-10,3-17,80,170,156,298,2-2,1-1,5,2,6-30,11-78,
81,October 8,6,1978,59,Oakland Raiders,Houston Oilers,John Madden,Bum Phillips,4-2,3-3,outdoors,grass,Oakland Raiders -7.5,Dan Pastorini,Ken Stabler,20,22,51-205-0,33-123-1,9-17-168-2-1,14-23-168-1-3,0-0,2-12,168,156,373,279,1-1,2-2,2,5,6-72,3-30,
