,date,week,year,seasonNumber,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,awayQB,homeQB,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,vegas line,over/under
88,November 2,7,1975,56,Denver Broncos,Oakland Raiders,John Ralston,John Madden,3-4,5-2,outdoors,grass,Ken Stabler,Steve Ramsey,21,24,48-184-4,35-150-0,11-17-166-2-2,13-35-213-2-3,2-22,5-36,144,177,328,327,3-2,0-0,4,3,14-115,6-32,,
89,November 2,7,1975,56,Washington Redskins,Dallas Cowboys,George Allen,Tom Landry,5-2,5-2,outdoors,grass,Roger Staubach,Billy Kilmer,22,29,43-172-0,32-102-1,18-30-238-2-1,21-39-301-3-4,4-25,0-0,213,301,385,403,2-2,3-2,3,6,9-82,3-27,,
90,November 3,7,1975,56,Philadelphia Eagles,Los Angeles Rams,Mike McCormack,Chuck Knox,1-6,6-1,outdoors,astroturf,James Harris,Roman Gabriel,20,15,47-208-1,25-97-0,10-20-207-3-0,16-38-201-0-4,0-0,4-33,207,168,415,265,0-0,3-0,0,4,6-60,4-30,,
91,November 9,8,1975,56,Buffalo Bills,Baltimore Colts,Lou Saban,Ted Marchibroda,5-3,4-4,outdoors,astroturf,Bert Jones,Joe Ferguson,25,20,46-199-3,27-179-1,15-23-321-3-1,14-31-267-4-2,2-22,4-28,299,239,498,418,2-2,1-1,3,3,7-60,7-55,,
92,November 9,8,1975,56,Detroit Lions,Cleveland Browns,Rick Forzano,Forrest Gregg,5-3,0-8,dome,astroturf,Will Cureton,Joe Reed,13,15,31-126-0,41-128-1,10-32-95-1-1,11-19-163-1-1,2-21,1-9,74,154,200,282,0-0,2-1,1,2,4-29,4-37,,
93,November 9,8,1975,56,Pittsburgh Steelers,Houston Oilers,Chuck Noll,Bum Phillips,7-1,6-2,outdoors,astroturf,Dan Pastorini,Terry Bradshaw,18,22,29-92-2,40-183-0,16-35-231-0-2,17-28-219-3-1,4-25,5-50,206,169,298,352,1-1,4-1,3,2,4-20,3-38,,
94,November 9,8,1975,56,New York Giants,Washington Redskins,Bill Arnsparger,George Allen,3-5,6-2,outdoors,grass,Randy Johnson,Craig Morton,20,15,37-147-2,34-117-0,13-23-247-1-3,14-30-182-1-1,2-17,5-26,230,156,377,273,2-1,0-0,4,1,7-40,6-55,,
95,November 9,8,1975,56,Philadelphia Eagles,St. Louis Cardinals,Mike McCormack,Don Coryell,1-7,6-2,outdoors,astroturf,Jim Hart,Roman Gabriel,23,17,34-153-2,34-87-0,19-30-208-1-1,22-30-239-2-1,0-0,0-0,208,239,361,326,1-1,2-1,2,2,6-50,3-25,,
96,November 9,8,1975,56,Minnesota Vikings,Atlanta Falcons,Bud Grant,Marion Campbell,8-0,2-6,outdoors,grass,Kim McQuilken,Fran Tarkenton,6,23,15-43-0,63-220-3,5-26-43-0-5,12-23-59-2-0,3-26,0-0,17,59,60,279,3-3,2-0,8,0,2-9,6-50,,
97,November 9,8,1975,56,Chicago Bears,Green Bay Packers,Jack Pardee,Bart Starr,2-6,1-7,outdoors,astroturf,Don Milan,Gary Huff,13,15,23-41-0,47-148-1,21-42-285-2-1,10-16-122-1-1,2-17,2-9,268,113,309,261,4-2,3-2,3,3,9-94,7-75,,
98,November 9,8,1975,56,Los Angeles Rams,San Francisco 49ers,Chuck Knox,Dick Nolan,6-2,3-5,outdoors,grass,Steve Spurrier,James Harris,19,25,28-104-0,37-132-3,19-38-290-3-0,22-35-233-0-2,0-0,3-22,290,211,394,343,2-2,2-1,2,3,13-85,8-50,,
99,November 9,8,1975,56,Miami Dolphins,New York Jets,Don Shula,Charley Winner,7-1,2-6,outdoors,astroturf,Joe Namath,Bob Griese,15,14,35-147-0,35-128-1,11-28-140-1-2,9-15-223-2-0,3-18,1-9,122,214,269,342,0-0,2-2,2,2,6-45,6-40,,
100,November 9,8,1975,56,San Diego Chargers,New England Patriots,Tommy Prothro,Chuck Fairbanks,0-8,3-5,outdoors,grass,Steve Grogan,Dan Fouts,24,18,39-120-1,23-79-0,17-28-245-1-1,25-42-329-1-2,2-21,7-50,224,279,344,358,5-2,3-0,3,2,9-76,14-120,,
101,November 9,8,1975,56,Oakland Raiders,New Orleans Saints,John Madden,,6-2,2-6,outdoors,grass,Archie Manning,Ken Stabler,10,34,30-95-0,53-260-4,6-16-74-1-3,20-27-270-3-1,4-29,1-7,45,263,140,523,4-2,5-3,5,4,2-10,4-38,,
102,November 9,8,1975,56,Denver Broncos,Cincinnati Bengals,John Ralston,Paul Brown,3-5,7-1,outdoors,grass,Ken Anderson,Steve Ramsey,20,19,45-163-2,26-92-1,18-27-191-0-0,21-40-230-1-0,2-10,2-17,181,213,344,305,2-1,2-2,1,2,7-67,7-60,,
103,November 10,8,1975,56,Dallas Cowboys,Kansas City Chiefs,Tom Landry,Paul Wiggin,5-3,4-4,outdoors,astroturf,Mike Livingston,Roger Staubach,21,26,45-164-2,40-204-2,13-28-145-1-0,17-31-243-2-2,2-13,1-11,132,232,296,436,7-3,5-5,3,7,4-25,6-53,,
104,November 16,9,1975,56,Pittsburgh Steelers,Kansas City Chiefs,Chuck Noll,Paul Wiggin,8-1,4-5,outdoors,astroturf,Mike Livingston,Terry Bradshaw,12,23,25-78-0,39-239-2,13-28-167-0-2,16-24-204-2-1,6-44,2-23,123,181,201,420,2-0,3-1,2,2,3-25,4-74,,
105,November 16,9,1975,56,Atlanta Falcons,Los Angeles Rams,Marion Campbell,Chuck Knox,2-7,7-2,outdoors,grass,James Harris,Pat Sullivan,18,15,38-96-0,28-99-0,19-37-242-1-2,13-28-136-1-1,1-7,4-30,235,106,331,205,1-0,3-1,2,2,6-64,8-60,,
106,November 16,9,1975,56,New England Patriots,Dallas Cowboys,Chuck Fairbanks,Tom Landry,3-6,6-3,outdoors,astroturf,Roger Staubach,Jim Plunkett,16,20,41-171-1,29-99-1,11-20-198-3-0,12-30-264-3-2,5-33,6-39,165,225,336,324,2-2,4-2,2,4,10-60,5-35,,
107,November 16,9,1975,56,Detroit Lions,Green Bay Packers,Rick Forzano,Bart Starr,6-3,1-8,dome,astroturf,John Hadl,Joe Reed,20,17,35-127-0,48-166-0,17-30-182-1-2,8-21-104-1-2,3-32,0-0,150,104,277,270,1-0,3-1,2,3,7-65,3-15,,
108,November 16,9,1975,56,New York Giants,Philadelphia Eagles,Bill Arnsparger,Mike McCormack,3-6,2-7,outdoors,grass,Roman Gabriel,Craig Morton,14,15,38-184-0,38-129-1,12-25-112-1-0,9-23-92-0-1,1-2,2-11,110,81,294,210,2-1,3-2,1,3,6-63,7-58,,
109,November 16,9,1975,56,Baltimore Colts,New York Jets,Ted Marchibroda,Charley Winner,5-4,2-7,outdoors,grass,Joe Namath,Bert Jones,19,26,26-82-1,42-225-3,15-41-280-1-3,16-22-277-3-1,5-43,0-0,237,277,319,502,2-1,3-2,4,3,4-22,4-50,,
110,November 16,9,1975,56,Houston Oilers,Miami Dolphins,Bum Phillips,Don Shula,7-2,7-2,dome,astroturf,Bob Griese,Dan Pastorini,23,15,38-114-2,31-169-1,21-29-257-1-2,11-22-111-0-0,3-21,4-41,236,70,350,239,1-0,1-0,2,0,5-35,10-90,,
111,November 16,9,1975,56,New Orleans Saints,Minnesota Vikings,Bud Grant,,2-7,9-0,dome,astroturf,Fran Tarkenton,Archie Manning,23,6,40-160-0,27-67-0,25-39-310-3-2,5-18-62-1-0,0-0,8-69,310,-7,470,60,6-3,1-0,5,0,6-50,4-25,,
112,November 16,9,1975,56,St. Louis Cardinals,Washington Redskins,Don Coryell,George Allen,7-2,6-3,outdoors,astroturf,Randy Johnson,Jim Hart,16,31,38-145-0,47-230-0,14-27-252-2-3,19-37-215-2-2,0-0,2-18,252,197,397,427,4-2,4-2,5,4,8-97,3-31,,
113,November 16,9,1975,56,San Diego Chargers,Denver Broncos,Tommy Prothro,John Ralston,0-9,4-5,outdoors,grass,Steve Ramsey,Dan Fouts,22,17,33-112-1,29-105-2,24-36-225-2-2,14-25-215-0-1,0-0,2-13,225,202,337,307,1-0,3-1,2,2,8-58,2-24,,
114,November 16,9,1975,56,San Francisco 49ers,Chicago Bears,Dick Nolan,Jack Pardee,4-5,2-7,outdoors,astroturf,Gary Huff,Steve Spurrier,11,21,37-156-0,42-233-2,10-20-73-0-0,11-22-124-1-2,2-29,3-22,44,102,200,335,3-2,1-1,2,3,6-53,5-33,,
115,November 16,9,1975,56,Oakland Raiders,Cleveland Browns,John Madden,Forrest Gregg,7-2,0-9,outdoors,grass,Mike Phipps,Ken Stabler,16,22,30-135-2,46-217-1,14-30-116-0-3,16-25-220-4-1,2-21,1-10,95,210,230,427,1-1,0-0,4,1,4-40,7-69,,
116,November 17,9,1975,56,Cincinnati Bengals,Buffalo Bills,Paul Brown,Lou Saban,8-1,5-4,outdoors,astroturf,Joe Ferguson,Ken Anderson,20,34,28-242-2,38-112-2,9-18-106-1-0,30-46-447-2-0,1-13,1-6,93,441,335,553,2-2,2-1,2,1,7-78,6-68,,
117,November 23,10,1975,56,New York Jets,St. Louis Cardinals,Don Coryell,,2-8,8-2,outdoors,grass,Jim Hart,Joe Namath,23,22,43-209-2,27-157-0,14-17-287-2-0,14-41-190-0-3,2-20,2-24,267,166,476,323,4-3,2-0,3,3,10-83,8-94,,
118,November 23,10,1975,56,Miami Dolphins,Baltimore Colts,Don Shula,Ted Marchibroda,7-3,6-4,outdoors,astroturf,Bert Jones,Bob Griese,14,15,43-180-4,38-128-1,6-14-66-0-0,8-21-76-1-3,4-24,4-37,42,39,222,167,2-0,2-2,0,5,6-62,4-20,,
119,November 23,10,1975,56,Buffalo Bills,New England Patriots,Lou Saban,Chuck Fairbanks,6-4,3-7,outdoors,astroturf,Steve Grogan,Joe Ferguson,28,23,31-138-2,40-153-2,25-46-365-2-3,16-32-276-4-1,1-5,2-13,360,263,498,416,2-2,2-0,5,1,11-67,8-65,,
120,November 23,10,1975,56,Atlanta Falcons,Denver Broncos,Marion Campbell,John Ralston,3-7,4-6,outdoors,grass,Charley Johnson,Steve Bartkowski,17,20,27-102-1,42-148-2,13-32-169-1-5,12-25-158-2-3,4-38,3-29,131,129,233,277,2-1,2-1,6,4,5-52,6-41,,
121,November 23,10,1975,56,Cleveland Browns,Cincinnati Bengals,Forrest Gregg,Paul Brown,1-9,8-2,outdoors,grass,Ken Anderson,Mike Phipps,17,24,28-74-1,33-166-1,17-31-360-2-1,23-36-298-2-0,4-32,2-25,328,273,402,439,3-2,5-2,3,2,5-50,10-109,,
122,November 23,10,1975,56,New Orleans Saints,San Francisco 49ers,Dick Nolan,,2-8,5-5,dome,astroturf,Steve Spurrier,Archie Manning,11,18,31-90-1,24-104-0,13-22-142-1-0,25-52-207-0-2,1-4,4-31,138,176,228,280,4-2,2-0,2,2,7-65,5-35,,
123,November 23,10,1975,56,Dallas Cowboys,Philadelphia Eagles,Tom Landry,Mike McCormack,7-3,2-8,outdoors,astroturf,Roman Gabriel,Roger Staubach,23,22,29-111-2,48-205-3,21-42-237-0-2,11-15-155-0-2,3-21,2-9,216,146,327,351,0-0,1-0,2,2,4-46,7-60,,
124,November 23,10,1975,56,Minnesota Vikings,San Diego Chargers,Bud Grant,Tommy Prothro,10-0,0-10,outdoors,grass,Jesse Freitas,Fran Tarkenton,13,25,24-81-0,43-162-3,15-23-174-2-1,24-32-201-1-2,4-27,1-10,147,191,228,353,1-1,2-0,2,2,7-62,3-45,,
125,November 23,10,1975,56,Green Bay Packers,New York Giants,Bart Starr,Bill Arnsparger,2-8,3-7,outdoors,grass,Craig Morton,John Hadl,17,26,34-119-1,40-210-2,16-37-290-1-1,19-30-298-3-1,4-30,0-0,260,298,379,508,5-4,1-0,5,1,4-21,7-65,,
126,November 23,10,1975,56,Kansas City Chiefs,Detroit Lions,Paul Wiggin,Rick Forzano,5-5,6-4,outdoors,astroturf,Joe Reed,Len Dawson,21,20,49-228-1,40-251-2,10-26-139-1-1,17-25-217-1-1,1-1,5-48,138,169,366,420,1-1,2-1,2,2,9-94,11-105,,
127,November 23,10,1975,56,Washington Redskins,Oakland Raiders,George Allen,John Madden,6-4,8-2,outdoors,grass,Ken Stabler,Billy Kilmer,26,19,51-190-3,26-122-1,20-32-243-0-2,19-40-244-2-2,3-27,4-29,216,215,406,337,3-3,0-0,5,2,8-80,6-73,,
128,November 23,10,1975,56,Los Angeles Rams,Chicago Bears,Chuck Knox,Jack Pardee,8-2,2-8,outdoors,grass,Bob Avellini,James Harris,12,17,33-105-0,38-199-4,16-30-157-1-2,10-23-141-1-1,4-46,0-0,111,141,216,340,2-1,0-0,3,1,6-40,6-47,,
129,November 24,10,1975,56,Houston Oilers,Pittsburgh Steelers,Bum Phillips,Chuck Noll,7-3,9-1,dome,astroturf,Terry Bradshaw,Dan Pastorini,22,13,45-228-3,23-126-0,13-16-168-1-2,17-32-172-1-2,3-29,4-41,139,131,367,257,5-3,3-2,5,4,8-70,3-30,,
130,November 27,11,1975,56,Detroit Lions,Los Angeles Rams,Rick Forzano,Chuck Knox,6-5,9-2,dome,astroturf,James Harris,Joe Reed,20,12,40-177-0,29-121-0,11-24-157-3-0,11-26-117-0-2,1-14,3-24,143,93,320,214,3-1,1-0,1,2,3-20,10-63,,
131,November 27,11,1975,56,St. Louis Cardinals,Buffalo Bills,Don Coryell,Lou Saban,8-3,7-4,outdoors,astroturf,Joe Ferguson,Jim Hart,25,16,59-264-4,21-54-1,11-22-128-0-2,13-31-167-1-4,0-0,2-11,128,156,392,210,1-1,6-3,3,7,6-40,4-17,,
132,November 30,11,1975,56,Philadelphia Eagles,San Francisco 49ers,Mike McCormack,Dick Nolan,3-8,5-6,outdoors,astroturf,Steve Spurrier,Mike Boryla,23,18,25-82-1,38-66-0,28-49-323-1-3,23-36-241-3-1,0-0,5-30,323,211,405,277,6-4,1-1,7,2,7-50,7-63,,
133,November 30,11,1975,56,Cincinnati Bengals,Houston Oilers,Paul Brown,Bum Phillips,9-2,7-4,outdoors,astroturf,Dan Pastorini,John Reaves,20,18,39-206-1,35-135-1,10-34-107-1-1,13-23-162-2-0,0-0,1-8,107,154,313,289,3-2,3-1,3,1,5-38,8-58,,
134,November 30,11,1975,56,New York Jets,Pittsburgh Steelers,Chuck Noll,,2-9,10-1,outdoors,grass,Terry Bradshaw,Joe Namath,21,16,39-213-0,41-141-0,9-23-120-2-0,8-21-138-1-4,2-7,1-9,113,129,326,270,1-0,0-0,0,4,7-41,11-77,,
135,November 30,11,1975,56,Cleveland Browns,New Orleans Saints,Forrest Gregg,,2-9,2-9,outdoors,grass,Archie Manning,Mike Phipps,18,19,51-177-2,29-99-1,6-10-92-0-0,17-29-162-1-1,3-32,1-12,60,150,237,249,1-0,1-0,0,1,3-25,4-30,,
136,November 30,11,1975,56,Baltimore Colts,Kansas City Chiefs,Ted Marchibroda,Paul Wiggin,7-4,5-6,outdoors,grass,Len Dawson,Bert Jones,18,19,21-66-0,38-216-2,25-36-307-2-2,16-17-211-1-0,7-44,1-4,263,207,329,423,1-0,3-1,2,1,5-39,5-45,,
137,November 30,11,1975,56,Green Bay Packers,Chicago Bears,Bart Starr,Jack Pardee,3-8,2-9,outdoors,grass,Bob Avellini,John Hadl,11,22,25-88-1,52-193-3,9-25-109-0-3,12-21-141-1-2,4-65,2-25,44,116,132,309,5-3,5-2,6,4,8-60,5-39,,
138,November 30,11,1975,56,Dallas Cowboys,New York Giants,Tom Landry,Bill Arnsparger,8-3,3-8,outdoors,astroturf,Craig Morton,Roger Staubach,11,19,28-74-0,44-181-1,8-24-102-0-3,13-23-213-1-2,4-18,2-5,84,208,158,389,2-0,1-0,3,2,3-34,5-38,,
139,November 30,11,1975,56,Washington Redskins,Minnesota Vikings,George Allen,Bud Grant,7-4,10-1,outdoors,grass,Fran Tarkenton,Billy Kilmer,28,21,33-163-3,26-145-1,27-38-357-1-0,13-25-233-3-0,1-12,1-5,345,228,508,373,0-0,2-0,0,0,10-70,6-60,,
140,November 30,11,1975,56,Denver Broncos,San Diego Chargers,John Ralston,Tommy Prothro,5-6,0-11,outdoors,grass,Jesse Freitas,Steve Ramsey,3,24,17-59-0,60-328-0,8-24-72-0-1,8-20-46-1-6,1-8,6-38,64,8,123,336,6-1,2-0,2,6,8-98,5-40,,
141,November 30,11,1975,56,Oakland Raiders,Atlanta Falcons,John Madden,Marion Campbell,9-2,3-8,outdoors,grass,Steve Bartkowski,Ken Stabler,20,33,43-150-3,62-286-0,12-26-198-1-1,18-33-264-4-2,3-28,2-16,170,248,320,534,2-0,1-1,1,3,2-20,7-67,,
142,December 1,11,1975,56,Miami Dolphins,New England Patriots,Don Shula,Chuck Fairbanks,8-3,3-8,outdoors,astroturf,Steve Grogan,Earl Morrall,15,16,21-72-1,48-199-1,15-32-188-0-0,15-20-140-1-0,2-16,2-11,172,129,244,328,2-1,2-1,1,1,3-32,7-50,,
143,December 7,12,1975,56,Pittsburgh Steelers,Cleveland Browns,Chuck Noll,Forrest Gregg,11-1,2-10,outdoors,astroturf,Mike Phipps,Terry Bradshaw,15,17,32-122-1,39-160-2,14-37-145-0-3,11-25-135-2-0,3-30,4-37,115,98,237,258,2-1,2-2,4,2,4-41,7-40,,
144,December 7,12,1975,56,Atlanta Falcons,Washington Redskins,Marion Campbell,George Allen,3-9,8-4,outdoors,grass,Billy Kilmer,Steve Bartkowski,22,16,30-91-0,30-127-0,25-38-320-3-1,14-26-281-3-3,1-6,2-20,314,261,405,388,2-1,1-0,2,3,3-27,5-47,,
145,December 7,12,1975,56,New England Patriots,New York Jets,Chuck Fairbanks,,3-9,3-9,outdoors,astroturf,Joe Namath,Steve Grogan,21,21,53-205-3,29-163-2,14-18-160-0-0,15-30-273-2-4,1-4,2-12,156,261,361,424,4-1,4-1,1,5,9-70,6-31,,
146,December 7,12,1975,56,Philadelphia Eagles,Cincinnati Bengals,Mike McCormack,Paul Brown,3-9,10-2,outdoors,astroturf,Ken Anderson,Roman Gabriel,34,13,48-258-3,24-118-0,21-37-234-1-2,13-41-121-0-4,1-8,2-14,226,107,484,225,6-4,3-1,6,5,6-64,8-85,,
147,December 7,12,1975,56,New York Giants,Baltimore Colts,Bill Arnsparger,Ted Marchibroda,3-9,8-4,outdoors,grass,Bert Jones,Craig Morton,15,14,39-148-2,29-93-0,11-18-92-0-0,12-28-195-0-3,2-17,8-62,75,133,223,226,1-0,4-1,0,4,8-70,4-43,,
148,December 7,12,1975,56,Chicago Bears,Detroit Lions,Jack Pardee,Rick Forzano,3-9,6-6,outdoors,astroturf,Joe Reed,Bob Avellini,19,15,39-153-1,42-140-3,14-34-220-2-1,11-19-204-0-2,2-28,3-31,192,173,345,313,3-2,3-2,3,4,6-77,8-45,,
149,December 7,12,1975,56,Minnesota Vikings,Green Bay Packers,Bud Grant,Bart Starr,11-1,3-9,outdoors,grass,John Hadl,Fran Tarkenton,6,19,20-51-0,42-161-0,11-30-93-0-3,23-36-235-3-0,3-22,1-9,71,226,122,387,2-0,3-0,3,0,5-45,7-41,,
150,December 7,12,1975,56,Kansas City Chiefs,San Diego Chargers,Paul Wiggin,Tommy Prothro,5-7,1-11,outdoors,astroturf,Dan Fouts,Len Dawson,21,17,50-247-4,30-63-1,8-18-168-0-3,17-30-198-1-0,1-3,4-29,165,169,412,232,2-1,6-3,4,3,8-40,4-30,,
151,December 7,12,1975,56,St. Louis Cardinals,Dallas Cowboys,Don Coryell,Tom Landry,9-3,8-4,outdoors,astroturf,Roger Staubach,Jim Hart,28,22,25-118-2,43-169-1,25-41-268-0-3,11-18-199-3-1,3-13,0-0,255,199,373,368,0-0,1-0,3,1,5-22,7-67,,
152,December 7,12,1975,56,New Orleans Saints,Los Angeles Rams,Chuck Knox,,2-10,10-2,dome,astroturf,James Harris,Archie Manning,14,12,38-132-0,30-76-0,11-18-115-0-2,14-23-165-1-2,2-15,3-23,100,142,232,218,4-2,2-1,4,3,3-20,5-30,,
153,December 7,12,1975,56,San Francisco 49ers,Houston Oilers,Dick Nolan,Bum Phillips,5-7,8-4,outdoors,astroturf,Dan Pastorini,Norm Snead,23,11,51-170-3,25-5-1,11-23-118-0-0,18-32-221-0-1,2-9,3-26,109,195,279,200,4-3,3-2,3,3,5-46,4-45,,
154,December 7,12,1975,56,Miami Dolphins,Buffalo Bills,Don Shula,Lou Saban,9-3,7-5,outdoors,astroturf,Joe Ferguson,Don Strock,21,19,29-130-1,44-197-2,20-41-279-2-2,12-15-99-2-0,3-24,0-0,255,99,385,296,0-0,0-0,2,0,7-99,7-75,,
155,December 8,12,1975,56,Oakland Raiders,Denver Broncos,John Madden,John Ralston,10-2,5-7,outdoors,grass,John Hufnagel,Ken Stabler,18,16,42-147-1,40-100-2,11-27-181-0-4,7-16-85-0-2,10-74,1-7,107,78,254,178,1-0,2-1,4,3,7-99,6-64,,
156,December 13,13,1975,56,Pittsburgh Steelers,Cincinnati Bengals,Chuck Noll,Paul Brown,12-1,10-3,outdoors,astroturf,Ken Anderson,Terry Bradshaw,16,21,26-123-1,38-191-3,19-33-236-1-1,13-23-149-1-1,4-42,1-21,194,128,317,319,1-1,2-0,2,1,8-45,7-48,,
157,December 13,13,1975,56,Dallas Cowboys,Washington Redskins,Tom Landry,George Allen,9-4,8-5,outdoors,astroturf,Billy Kilmer,Roger Staubach,12,19,27-81-0,46-207-1,14-33-160-1-2,10-20-153-2-1,3-19,2-17,141,136,222,343,3-2,2-1,4,2,6-61,2-21,,
158,December 14,13,1975,56,New York Giants,New Orleans Saints,Bill Arnsparger,,4-9,2-11,outdoors,grass,Archie Manning,Craig Morton,19,13,43-176-1,31-124-2,14-34-108-1-2,11-19-146-1-0,4-29,3-27,79,119,255,243,6-1,2-1,3,1,9-60,2-16,,
159,December 14,13,1975,56,Cleveland Browns,Kansas City Chiefs,Forrest Gregg,Paul Wiggin,3-10,5-8,outdoors,grass,Tony Adams,Mike Phipps,15,27,29-47-1,44-278-4,13-31-141-1-1,15-21-203-1-0,5-42,0-0,99,203,146,481,4-3,6-3,4,3,6-28,7-86,,
160,December 14,13,1975,56,New England Patriots,Buffalo Bills,Chuck Fairbanks,Lou Saban,3-10,8-5,outdoors,astroturf,Joe Ferguson,Steve Grogan,26,16,53-349-3,30-86-1,11-19-137-2-1,17-30-272-1-2,2-18,8-87,119,185,468,271,3-3,5-4,4,6,6-45,5-56,,
161,December 14,13,1975,56,Atlanta Falcons,San Francisco 49ers,Marion Campbell,Dick Nolan,4-9,5-8,outdoors,grass,Steve Spurrier,Steve Bartkowski,23,21,28-212-1,35-100-1,21-49-232-0-2,21-39-371-3-0,3-38,1-9,194,362,406,462,2-0,1-0,2,0,5-39,9-70,,
162,December 14,13,1975,56,Baltimore Colts,Miami Dolphins,Ted Marchibroda,Don Shula,9-4,9-4,outdoors,grass,Don Strock,Bert Jones,15,22,43-192-1,46-146-1,8-19-97-0-1,23-39-232-0-0,1-11,3-26,86,206,278,352,3-1,1-0,2,0,7-54,5-60,,
163,December 14,13,1975,56,Chicago Bears,St. Louis Cardinals,Jack Pardee,Don Coryell,3-10,10-3,outdoors,astroturf,Jim Hart,Bob Avellini,19,18,47-190-3,25-67-1,9-20-172-1-0,20-36-268-2-1,0-0,1-9,172,259,362,326,2-1,1-1,1,2,4-51,7-45,,
164,December 14,13,1975,56,Oakland Raiders,Houston Oilers,John Madden,Bum Phillips,10-3,9-4,outdoors,grass,Dan Pastorini,Ken Stabler,19,23,28-86-0,44-140-2,17-41-217-3-3,15-25-237-2-3,4-43,0-0,174,237,260,377,0-0,5-3,3,6,5-45,7-83,,
165,December 14,13,1975,56,Los Angeles Rams,Green Bay Packers,Chuck Knox,Bart Starr,11-2,3-10,outdoors,grass,John Hadl,Ron Jaworski,9,22,24-53-0,43-195-2,13-29-146-0-2,15-26-176-0-2,6-29,5-37,117,139,170,334,3-2,1-0,4,2,4-35,3-20,,
166,December 14,13,1975,56,Detroit Lions,Minnesota Vikings,Rick Forzano,Bud Grant,7-6,11-2,dome,astroturf,Fran Tarkenton,Joe Reed,16,14,26-74-0,43-204-1,18-34-156-0-2,9-17-88-1-2,4-29,4-34,127,54,201,258,2-1,2-2,3,4,8-58,8-55,,
167,December 14,13,1975,56,Denver Broncos,Philadelphia Eagles,John Ralston,Mike McCormack,6-7,3-10,outdoors,grass,Mike Boryla,Steve Ramsey,17,20,25-114-0,49-197-2,16-34-170-1-3,11-28-188-1-1,0-0,2-16,170,172,284,369,3-2,0-0,5,1,5-40,11-95,,
168,December 15,13,1975,56,San Diego Chargers,New York Jets,Tommy Prothro,,2-11,3-10,outdoors,grass,Joe Namath,Dan Fouts,24,23,41-139-2,48-249-3,16-34-194-0-3,8-16-109-0-0,1-12,0-0,182,109,321,358,1-0,0-0,3,0,9-75,9-80,,
169,December 20,14,1975,56,Buffalo Bills,Minnesota Vikings,Lou Saban,Bud Grant,8-6,12-2,outdoors,astroturf,Fran Tarkenton,Gary Marangi,28,20,41-168-2,26-120-1,27-43-242-2-1,16-37-212-1-4,2-23,3-23,219,189,387,309,5-1,1-1,2,5,8-44,5-35,,
170,December 20,14,1975,56,Miami Dolphins,Denver Broncos,Don Shula,John Ralston,10-4,6-8,outdoors,astroturf,Steve Ramsey,Earl Morrall,21,16,34-146-0,32-113-1,19-27-235-0-0,10-17-108-1-0,4-29,2-18,206,90,352,203,1-0,0-0,0,0,4-35,1-4,,
171,December 20,14,1975,56,Los Angeles Rams,Pittsburgh Steelers,Chuck Knox,Chuck Noll,12-2,12-2,outdoors,grass,Joe Gilliam,Ron Jaworski,14,14,34-177-0,48-171-1,5-21-57-0-3,6-13-79-0-1,2-17,2-17,40,62,217,233,1-1,1-0,4,1,3-20,3-36,,
172,December 21,14,1975,56,Cincinnati Bengals,San Diego Chargers,Paul Brown,Tommy Prothro,11-3,2-12,outdoors,astroturf,Jesse Freitas,Ken Anderson,15,27,29-113-1,41-167-4,11-27-118-1-0,25-34-272-3-1,5-43,0-0,75,272,188,439,4-3,4-3,3,4,0-0,1-2,,
173,December 21,14,1975,56,Washington Redskins,Philadelphia Eagles,George Allen,Mike McCormack,8-6,4-10,outdoors,grass,Mike Boryla,Joe Theismann,12,18,47-172-0,26-143-0,9-18-103-1-1,16-41-119-0-7,1-2,3-29,101,90,273,233,0-0,2-1,1,8,10-97,7-53,,
174,December 21,14,1975,56,New York Jets,Dallas Cowboys,Tom Landry,,3-11,10-4,outdoors,grass,Clint Longley,Joe Namath,21,13,53-243-2,41-121-3,6-15-94-1-1,2-13-15-0-1,1-8,2-16,86,-1,329,120,2-1,1-1,2,2,7-55,3-15,,
175,December 21,14,1975,56,Detroit Lions,St. Louis Cardinals,Rick Forzano,Don Coryell,7-7,11-3,dome,astroturf,Jim Hart,Joe Reed,20,16,51-272-2,21-101-1,6-12-73-0-1,14-30-199-1-1,0-0,0-0,73,199,345,300,0-0,1-1,1,2,5-47,4-24,,
176,December 21,14,1975,56,Baltimore Colts,New England Patriots,Ted Marchibroda,Chuck Fairbanks,10-4,3-11,outdoors,grass,Steve Grogan,Bert Jones,18,18,28-112-1,39-128-2,16-35-201-1-5,18-31-181-1-1,3-33,1-10,168,171,280,299,3-0,1-1,5,2,5-44,5-41,,
177,December 21,14,1975,56,New Orleans Saints,Chicago Bears,Jack Pardee,,2-12,4-10,dome,astroturf,Bob Avellini,Larry Cipa,19,17,42-195-2,29-68-2,15-23-268-3-2,10-30-143-0-3,1-5,3-14,263,129,458,197,3-1,3-2,3,5,11-90,1-14,,
