,year,date,week,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,awayQB,homeQB,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,vegas line,over/under
34,1977,October 2,3,Detroit Lions,Philadelphia Eagles,Tommy Hudspeth,Dick Vermeil,2-1,1-2,dome,astroturf,Ron Jaworski,Greg Landry,19,18,35-137-0,45-140-1,13-26-207-2-1,13-18-125-1-0,3-14,4-30,193,95,330,235,4-2,1-1,3,1,7-55,7-62,,
35,1977,October 2,3,Baltimore Colts,Buffalo Bills,Ted Marchibroda,Jim Ringo,3-0,0-3,outdoors,grass,Joe Ferguson,Bert Jones,18,22,23-77-0,41-155-1,19-39-234-2-2,20-30-175-1-0,2-9,2-21,225,154,302,309,4-3,4-1,5,1,5-40,7-55,,
36,1977,October 2,3,San Diego Chargers,Cincinnati Bengals,Tommy Prothro,Bill Johnson,2-1,1-2,outdoors,grass,Ken Anderson,James Harris,15,25,22-92-0,43-165-1,15-33-165-0-3,17-24-238-2-1,5-38,2-18,127,220,219,385,4-1,1-1,4,2,4-44,10-83,,
37,1977,October 2,3,Miami Dolphins,Houston Oilers,Don Shula,Bum Phillips,3-0,2-1,outdoors,grass,Dan Pastorini,Bob Griese,13,29,27-68-1,51-217-3,16-31-137-0-2,13-20-194-1-1,0-0,1-14,137,180,205,397,2-1,2-2,3,3,6-47,1-2,,
38,1977,October 2,3,Washington Redskins,St. Louis Cardinals,George Allen,Don Coryell,2-1,1-2,outdoors,grass,Jim Hart,Billy Kilmer,19,16,32-106-1,41-163-0,17-31-238-1-2,12-21-206-3-0,2-15,1-8,223,198,329,361,4-1,1-1,3,1,7-55,6-49,,
39,1977,October 2,3,Seattle Seahawks,Denver Broncos,Jack Patera,Red Miller,0-3,3-0,dome,astroturf,Craig Morton,Steve Myer,19,19,39-153-2,32-81-0,12-21-181-1-1,21-31-208-2-1,1-4,2-17,177,191,330,272,2-1,3-2,2,3,9-92,7-40,,
40,1977,October 2,3,Los Angeles Rams,San Francisco 49ers,Chuck Knox,Ken Meyer,2-1,0-3,outdoors,grass,Jim Plunkett,Joe Namath,12,17,25-48-1,49-150-4,15-25-205-1-2,7-14-126-0-0,3-22,3-31,183,95,231,245,1-0,1-0,2,0,11-101,9-108,,
41,1977,October 3,3,Kansas City Chiefs,Oakland Raiders,Paul Wiggin,John Madden,0-3,3-0,outdoors,astroturf,Ken Stabler,Mike Livingston,29,14,49-242-3,27-194-1,19-28-297-1-3,9-20-157-3-0,1-0,3-29,297,128,539,322,2-1,0-0,4,0,5-60,5-45,,
42,1977,October 9,4,Cleveland Browns,Oakland Raiders,Forrest Gregg,John Madden,2-2,4-0,outdoors,grass,Ken Stabler,Brian Sipe,17,14,48-171-2,26-113-0,9-20-107-0-2,12-27-141-1-2,2-19,1-4,88,137,259,250,0-0,5-3,2,5,8-55,9-66,,
43,1977,October 9,4,New England Patriots,Seattle Seahawks,Chuck Fairbanks,Jack Patera,2-2,0-4,outdoors,astroturf,Steve Myer,Steve Grogan,6,19,31-95-0,55-196-1,5-23-71-0-4,9-15-137-3-1,3-21,0-0,50,137,145,333,2-1,3-2,5,3,4-20,2-25,,
