,date,week,year,seasonNumber,home,away,homeScore,awayScore,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,awayQB,homeQB,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,vegas line,over/under
36,September 26,3,1976,57,Denver Broncos,Cleveland Browns,44,13,John Ralston,Forrest Gregg,2-1,1-2,outdoors,grass,Brian Sipe,Steve Ramsey,17,18,33-83-1,32-55-1,20-37-158-1-2,11-21-177-2-2,2-14,1-6,144,171,227,226,2-2,3-1,4,3,13-121,8-63,,
37,September 26,3,1976,57,Seattle Seahawks,San Francisco 49ers,21,37,Jack Patera,Monte Clark,0-3,2-1,dome,astroturf,Jim Plunkett,Jim Zorn,19,29,32-142-0,35-130-2,16-29-239-3-1,21-44-305-1-2,0-0,1-14,239,291,381,421,0-0,3-1,1,3,11-106,4-45,,
38,September 26,3,1976,57,San Diego Chargers,St. Louis Cardinals,43,24,Tommy Prothro,Don Coryell,3-0,2-1,outdoors,grass,Jim Hart,Dan Fouts,22,24,28-124-1,45-206-2,20-33-240-2-1,15-18-259-4-0,0-0,2-14,240,245,364,451,4-4,2-0,5,0,5-20,5-54,,
39,September 26,3,1976,57,Los Angeles Rams,New York Giants,24,10,Chuck Knox,Bill Arnsparger,2-0-1,0-3,outdoors,grass,Craig Morton,James Harris,20,18,42-168-0,44-189-2,14-26-160-1-4,14-23-179-1-1,4-41,0-0,119,179,287,368,3-1,2-1,5,2,3-35,7-53,,
40,September 26,3,1976,57,Dallas Cowboys,Baltimore Colts,30,27,Tom Landry,Ted Marchibroda,3-0,2-1,outdoors,astroturf,Bert Jones,Roger Staubach,25,21,39-184-3,32-92-0,13-31-237-0-0,23-29-378-3-0,2-21,2-13,216,365,400,457,2-1,4-3,1,3,7-55,8-65,,
41,September 27,3,1976,57,Philadelphia Eagles,Washington Redskins,17,20,Dick Vermeil,George Allen,1-2,3-0,outdoors,astroturf,Billy Kilmer,Mike Boryla,11,19,37-140-1,56-252-1,11-33-96-0-3,14-37-184-1-5,1-6,3-18,90,166,230,418,2-1,3-1,4,6,6-50,15-109,,
42,October 3,4,1976,57,Cleveland Browns,Cincinnati Bengals,24,45,Forrest Gregg,Bill Johnson,1-3,3-1,outdoors,grass,Ken Anderson,Brian Sipe,25,26,36-133-1,27-127-1,19-27-265-4-2,26-42-290-2-0,0-0,0-0,265,290,398,417,0-0,3-2,2,2,5-66,7-95,,
43,October 3,4,1976,57,Buffalo Bills,Kansas City Chiefs,50,17,Lou Saban,Paul Wiggin,2-2,0-4,outdoors,astroturf,Tony Adams,Joe Ferguson,22,25,33-161-0,44-266-3,18-33-363-2-3,14-24-184-3-0,3-22,1-4,341,180,502,446,5-3,0-0,6,0,7-48,5-38,,
44,October 3,4,1976,57,Atlanta Falcons,Philadelphia Eagles,13,14,Marion Campbell,Dick Vermeil,1-3,2-2,outdoors,grass,Mike Boryla,Steve Bartkowski,14,18,34-157-0,30-126-0,10-22-97-2-0,18-32-212-1-2,4-44,6-50,53,162,210,288,2-1,0-0,1,2,11-75,9-95,,
45,October 3,4,1976,57,New England Patriots,Oakland Raiders,48,17,Chuck Fairbanks,John Madden,3-1,3-1,outdoors,astroturf,Ken Stabler,Steve Grogan,25,27,24-114-1,52-296-4,24-44-246-1-1,11-17-172-3-1,4-39,0-0,207,172,321,468,4-3,3-0,4,1,8-85,10-124,,
46,October 3,4,1976,57,Baltimore Colts,Tampa Bay Buccaneers,42,17,Ted Marchibroda,John McKay,3-1,0-4,outdoors,grass,Steve Spurrier,Bert Jones,6,31,24-76-1,50-238-3,4-15-87-0-1,19-33-245-2-0,8-74,3-25,13,220,89,458,2-0,2-2,1,2,12-94,11-124,,
47,October 3,4,1976,57,Chicago Bears,Washington Redskins,33,7,Jack Pardee,George Allen,3-1,3-1,outdoors,astroturf,Joe Theismann,Bob Avellini,10,25,24-71-0,57-260-2,10-21-83-1-3,10-20-132-1-0,4-35,0-0,48,132,119,392,3-2,1-0,5,0,7-51,13-147,,
48,October 3,4,1976,57,Green Bay Packers,Detroit Lions,24,14,Bart Starr,Rick Forzano,1-3,1-3,outdoors,grass,Greg Landry,Lynn Dickey,20,15,39-155-1,48-212-1,12-17-122-1-1,4-11-51-2-0,8-61,2-16,61,35,216,247,2-1,3-1,2,1,7-56,10-98,,
49,October 3,4,1976,57,New Orleans Saints,Houston Oilers,26,31,Hank Stram,Bum Phillips,1-3,3-1,dome,astroturf,Dan Pastorini,Bobby Scott,14,22,25-87-1,32-105-0,18-29-194-2-1,22-44-291-2-1,4-26,4-21,168,270,255,375,1-0,3-2,1,3,9-67,8-65,,
50,October 3,4,1976,57,St. Louis Cardinals,New York Giants,27,21,Don Coryell,Bill Arnsparger,3-1,0-4,outdoors,astroturf,Craig Morton,Jim Hart,23,25,33-137-3,45-187-1,18-28-215-0-1,16-22-117-1-0,1-8,0-0,207,117,344,304,1-0,0-0,1,0,10-65,9-80,,
51,October 3,4,1976,57,Miami Dolphins,Los Angeles Rams,28,31,Don Shula,Chuck Knox,2-2,3-0-1,outdoors,grass,James Harris,Bob Griese,23,21,41-167-2,42-219-3,17-29-436-2-1,6-11-100-1-2,1-10,0-0,426,100,593,319,1-0,0-0,1,2,8-76,3-28,,
52,October 3,4,1976,57,Seattle Seahawks,Dallas Cowboys,13,28,Jack Patera,Tom Landry,0-4,4-0,dome,astroturf,Roger Staubach,Jim Zorn,25,19,45-211-2,24-103-0,14-20-200-2-1,19-41-147-2-1,0-0,1-7,200,140,411,243,0-0,1-0,1,1,5-45,6-84,,
53,October 3,4,1976,57,San Francisco 49ers,New York Jets,17,6,Monte Clark,Lou Holtz,3-1,0-4,outdoors,astroturf,Joe Namath,Jim Plunkett,19,16,35-170-1,38-126-1,14-26-164-0-0,12-23-121-0-2,7-73,0-0,91,121,261,247,3-2,1-0,2,2,4-57,3-15,,
54,October 3,4,1976,57,Denver Broncos,San Diego Chargers,26,0,John Ralston,Tommy Prothro,3-1,3-1,outdoors,grass,Dan Fouts,Steve Ramsey,12,17,27-88-0,44-141-1,14-27-153-0-2,10-17-186-0-1,1-1,2-16,152,170,240,311,2-1,1-1,3,2,5-38,7-56,,
55,October 4,4,1976,57,Minnesota Vikings,Pittsburgh Steelers,17,6,Bud Grant,Chuck Noll,3-0-1,1-3,outdoors,grass,Terry Bradshaw,Bob Lee,12,11,40-173-0,40-152-2,10-22-90-1-4,4-11-41-0-2,5-38,2-15,52,26,225,178,4-2,2-2,6,4,7-64,4-33,,
