,date,week,year,seasonNumber,home,away,homeScore,awayScore,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,awayQB,homeQB,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,vegas line,over/under
167,November 29,12,1976,57,San Francisco 49ers,Minnesota Vikings,20,16,Monte Clark,Bud Grant,7-5,9-2-1,outdoors,astroturf,Fran Tarkenton,Scott Bull,16,17,30-113-0,54-317-2,16-37-200-2-0,3-8-32-0-1,3-31,2-18,169,14,282,331,1-0,0-0,0,1,8-78,9-73,,
168,December 4,13,1976,57,St. Louis Cardinals,Baltimore Colts,24,17,Don Coryell,Ted Marchibroda,9-4,10-3,outdoors,astroturf,Bert Jones,Jim Hart,12,20,20-62-1,51-177-1,13-23-241-1-1,13-22-206-2-0,3-24,1-8,217,198,279,375,4-4,2-1,5,1,4-20,4-29,,
169,December 4,13,1976,57,Los Angeles Rams,Atlanta Falcons,59,0,Chuck Knox,,9-3-1,4-9,outdoors,grass,Kim McQuilken,Pat Haden,8,30,21-59-0,41-210-7,11-22-72-0-2,18-31-369-1-1,6-50,1-10,22,359,81,569,2-2,0-0,4,1,2-10,8-78,,
170,December 5,13,1976,57,New England Patriots,New Orleans Saints,27,6,Chuck Fairbanks,Hank Stram,10-3,4-9,outdoors,astroturf,Bobby Douglass,Steve Grogan,14,21,30-118-0,42-220-2,18-31-136-0-0,9-24-108-2-0,3-18,0-0,118,108,236,328,2-1,0-0,1,0,6-55,10-85,,
171,December 5,13,1976,57,Cleveland Browns,Houston Oilers,13,10,Forrest Gregg,Bum Phillips,9-4,5-8,outdoors,grass,Dan Pastorini,Brian Sipe,9,15,23-58-0,44-176-0,17-29-152-1-3,9-22-114-1-2,3-35,4-25,117,89,175,265,3-1,5-3,4,5,5-53,9-89,,
172,December 5,13,1976,57,Pittsburgh Steelers,Tampa Bay Buccaneers,42,0,Chuck Noll,John McKay,9-4,0-13,outdoors,astroturf,Steve Spurrier,Terry Bradshaw,8,26,30-94-0,58-222-4,5-14-57-0-2,12-15-163-2-0,5-46,0-0,11,163,105,385,4-2,3-1,4,1,4-30,5-35,,
173,December 5,13,1976,57,Philadelphia Eagles,Dallas Cowboys,7,26,Dick Vermeil,Tom Landry,3-10,11-2,outdoors,astroturf,Roger Staubach,Roman Gabriel,22,13,35-117-2,31-134-0,23-40-259-1-0,12-28-80-1-0,1-11,5-38,248,42,365,176,2-1,1-0,1,0,9-105,7-58,,
174,December 5,13,1976,57,New York Giants,Detroit Lions,24,10,,,3-10,6-7,outdoors,astroturf,Greg Landry,Craig Morton,16,17,24-111-1,43-196-1,15-31-209-0-2,12-24-195-2-2,6-46,1-8,163,187,274,383,5-3,1-1,5,3,5-48,7-65,,
175,December 5,13,1976,57,New York Jets,Washington Redskins,16,37,Lou Holtz,George Allen,3-10,9-4,outdoors,grass,Billy Kilmer,Richard Todd,29,12,49-238-1,32-232-2,17-25-191-3-0,5-15-90-0-2,1-3,6-38,188,52,426,284,4-3,2-2,3,4,8-87,9-89,,
176,December 5,13,1976,57,Minnesota Vikings,Green Bay Packers,20,9,Bud Grant,Bart Starr,10-2-1,4-9,outdoors,grass,Carlos Brown,Fran Tarkenton,8,29,21-59-0,48-218-2,8-26-113-1-0,23-32-195-0-1,4-28,0-0,85,195,144,413,0-0,3-2,0,3,3-30,7-56,,
177,December 5,13,1976,57,Denver Broncos,Kansas City Chiefs,17,16,John Ralston,Paul Wiggin,8-5,4-9,outdoors,grass,Mike Livingston,Craig Penrose,13,13,30-59-1,37-82-0,17-29-177-1-1,12-28-187-2-2,5-48,0-0,129,187,188,269,3-2,1-1,3,3,6-44,3-37,,
178,December 5,13,1976,57,Seattle Seahawks,Chicago Bears,7,34,Jack Patera,Jack Pardee,2-11,7-6,dome,astroturf,Bob Avellini,Jim Zorn,23,16,48-259-1,23-105-0,14-28-270-4-1,15-34-188-1-3,2-20,1-7,250,181,509,286,0-0,4-2,1,5,8-79,8-58,,
179,December 5,13,1976,57,Miami Dolphins,Buffalo Bills,45,27,Don Shula,,6-7,2-11,outdoors,grass,Gary Marangi,Don Strock,23,19,42-269-1,29-218-3,13-29-155-2-2,11-22-219-2-1,0-0,1-12,155,207,424,425,0-0,0-0,2,1,7-38,6-50,,
180,December 5,13,1976,57,San Diego Chargers,San Francisco 49ers,13,7,Tommy Prothro,Monte Clark,6-7,7-6,outdoors,grass,Jim Plunkett,Dan Fouts,18,19,45-185-0,39-170-2,11-22-123-1-1,12-21-129-0-0,3-27,4-32,96,97,281,267,1-0,2-0,1,0,7-59,6-42,,
181,December 6,13,1976,57,Oakland Raiders,Cincinnati Bengals,35,20,John Madden,Bill Johnson,12-1,9-4,outdoors,grass,Ken Anderson,Ken Stabler,22,26,25-107-2,54-228-1,16-37-281-1-3,16-23-217-4-1,3-30,0-0,251,217,358,445,1-0,0-0,3,1,5-66,7-55,,
182,December 11,14,1976,57,Miami Dolphins,Minnesota Vikings,7,29,Don Shula,Bud Grant,6-8,11-2-1,outdoors,grass,Fran Tarkenton,Don Strock,26,13,46-226-1,26-55-0,16-25-184-3-0,12-30-162-1-2,2-3,3-29,181,133,407,188,3-3,1-0,3,2,3-17,2-10,,
183,December 11,14,1976,57,Houston Oilers,Pittsburgh Steelers,0,21,Bum Phillips,Chuck Noll,5-9,10-4,dome,astroturf,Terry Bradshaw,Dan Pastorini,20,9,53-258-2,26-93-0,8-19-76-1-1,13-29-95-0-1,0-0,3-30,76,65,334,158,0-0,2-1,1,2,10-80,6-50,,
184,December 11,14,1976,57,Detroit Lions,Los Angeles Rams,17,20,Chuck Knox,,6-8,10-3-1,dome,astroturf,James Harris,Joe Reed,14,11,40-117-1,29-91-1,12-22-132-1-2,12-21-165-1-3,0-0,5-43,132,122,249,213,0-0,2-0,2,3,4-30,10-75,,
185,December 12,14,1976,57,New York Jets,Cincinnati Bengals,3,42,Bill Johnson,,3-11,10-4,outdoors,grass,Ken Anderson,Joe Namath,14,6,40-144-2,32-64-0,11-25-200-2-0,7-28-43-0-6,0-0,4-35,200,8,344,72,5-2,6-1,2,7,7-55,8-75,,
186,December 12,14,1976,57,New York Giants,St. Louis Cardinals,14,17,Don Coryell,,3-11,10-4,outdoors,astroturf,Jim Hart,Craig Morton,23,16,53-230-2,39-183-2,9-14-82-0-1,8-22-87-0-2,1-12,2-20,70,67,300,250,3-2,0-0,3,2,4-20,8-66,,
187,December 12,14,1976,57,Philadelphia Eagles,Seattle Seahawks,27,10,Dick Vermeil,Jack Patera,4-10,2-12,outdoors,astroturf,Jim Zorn,Roman Gabriel,20,25,21-71-0,54-270-3,24-49-237-1-1,12-20-142-0-0,1-11,0-0,226,142,297,412,4-2,1-0,3,0,5-30,6-60,,
188,December 12,14,1976,57,Atlanta Falcons,Green Bay Packers,20,24,Bart Starr,,4-10,5-9,outdoors,grass,Randy Johnson,Scott Hunter,24,16,43-196-3,27-145-2,16-26-165-0-1,10-24-119-0-1,1-11,1-11,154,108,350,253,0-0,2-0,1,1,2-30,7-69,,
189,December 12,14,1976,57,Tampa Bay Buccaneers,New England Patriots,14,31,John McKay,Chuck Fairbanks,0-14,11-3,outdoors,grass,Steve Grogan,Steve Spurrier,13,14,39-260-3,45-135-1,4-14-40-0-1,12-18-145-1-1,0-0,1-12,40,133,300,268,0-0,2-2,1,3,8-69,3-20,,
190,December 12,14,1976,57,Chicago Bears,Denver Broncos,14,28,Jack Pardee,John Ralston,7-7,9-5,outdoors,astroturf,Norris Weese,Bob Avellini,26,5,59-356-3,31-116-1,8-25-107-1-5,2-17-64-0-2,2-10,1-8,97,56,453,172,2-1,4-2,6,4,6-35,5-47,,
191,December 12,14,1976,57,New Orleans Saints,San Francisco 49ers,7,27,Hank Stram,Monte Clark,4-10,8-6,dome,astroturf,Scott Bull,Bobby Scott,22,11,42-212-2,20-54-0,14-28-154-1-1,18-33-281-1-0,1-6,5-36,148,245,360,299,3-1,2-1,2,1,10-88,10-107,,
192,December 12,14,1976,57,Kansas City Chiefs,Cleveland Browns,39,14,Paul Wiggin,Forrest Gregg,5-9,9-5,outdoors,astroturf,Brian Sipe,Tony Adams,16,26,29-157-1,44-198-4,11-25-125-1-3,18-35-237-1-1,2-11,4-49,114,188,271,386,6-3,3-2,6,3,8-104,11-90,,
193,December 12,14,1976,57,Baltimore Colts,Buffalo Bills,58,20,Ted Marchibroda,,11-3,2-12,outdoors,grass,Gary Marangi,Bert Jones,21,25,46-271-1,38-133-3,11-24-120-1-1,15-23-267-3-2,4-36,1-4,84,263,355,396,5-4,0-0,5,2,9-94,5-26,,
194,December 12,14,1976,57,Oakland Raiders,San Diego Chargers,24,0,John Madden,Tommy Prothro,13-1,6-8,outdoors,grass,Dan Fouts,Mike Rae,11,25,27-125-0,45-193-0,10-25-82-0-2,16-27-184-3-0,0-0,2-26,82,158,207,351,0-0,0-0,2,0,6-61,7-55,,
195,December 12,14,1976,57,Dallas Cowboys,Washington Redskins,14,27,Tom Landry,George Allen,11-3,10-4,outdoors,astroturf,Billy Kilmer,Roger Staubach,24,10,47-184-2,36-149-1,14-30-199-1-2,5-22-91-1-2,3-24,5-37,175,54,359,203,2-2,2-2,4,4,7-64,4-25,,
196,December 18,Division,1976,57,Minnesota Vikings,Washington Redskins,35,20,Bud Grant,George Allen,12-2-1,10-5,outdoors,grass,Billy Kilmer,Fran Tarkenton,19,21,18-75-0,46-221-2,26-49-298-2-2,12-22-170-3-2,1-8,1-7,290,163,365,384,0-0,2-0,2,2,7-57,5-30,Minnesota Vikings -6.0,
197,December 18,Division,1976,57,Oakland Raiders,New England Patriots,24,21,John Madden,Chuck Fairbanks,14-1,11-4,outdoors,grass,Steve Grogan,Ken Stabler,23,20,49-164-2,24-81-2,12-24-167-1-2,19-32-233-1-0,0-0,4-32,167,201,331,282,1-1,1-1,3,1,10-83,11-93,Oakland Raiders -8.0,
198,December 19,Division,1976,57,Baltimore Colts,Pittsburgh Steelers,14,40,Ted Marchibroda,Chuck Noll,11-4,11-4,outdoors,grass,Terry Bradshaw,Bert Jones,29,12,40-225-2,23-71-1,19-24-308-3-0,11-25-144-1-2,1-7,5-45,301,99,526,170,2-1,0-0,1,2,12-88,7-59,Pittsburgh Steelers -3.5,
199,December 19,Division,1976,57,Dallas Cowboys,Los Angeles Rams,12,14,Tom Landry,Chuck Knox,11-4,11-3-1,outdoors,astroturf,Pat Haden,Roger Staubach,17,14,49-120-2,28-85-1,10-21-152-0-3,15-37-150-0-3,3-22,4-24,130,126,250,211,0-0,3-1,3,4,8-94,6-34,Dallas Cowboys -3.5,
200,December 26,ConfChamp,1976,57,Minnesota Vikings,Los Angeles Rams,24,13,Bud Grant,Chuck Knox,13-2-1,11-4-1,outdoors,grass,Pat Haden,Fran Tarkenton,21,13,46-193-1,29-158-2,9-22-161-1-2,12-27-143-0-1,3-18,4-34,143,109,336,267,4-2,1-1,4,2,3-33,4-32,Minnesota Vikings -5.0,
201,December 26,ConfChamp,1976,57,Oakland Raiders,Pittsburgh Steelers,24,7,John Madden,Chuck Noll,15-1,11-5,outdoors,grass,Terry Bradshaw,Ken Stabler,13,15,21-72-1,51-157-1,14-35-176-0-1,10-16-88-2-0,3-11,2-25,165,63,237,220,1-0,2-0,1,0,5-29,7-34,Pittsburgh Steelers -4.0,
202,January 9,SuperBowl,1977,57,Oakland Raiders,Minnesota Vikings,14,32,Bud Grant,John Madden,13-3-1,16-1,outdoors,,Fran Tarkenton,Ken Stabler,21,20,52-266-2,26-71-0,12-19-180-1-0,24-44-286-2-2,2-17,1-4,163,282,429,353,0-0,1-1,0,3,4-30,2-25,Oakland Raiders -4.0,38.0 (over)
