,date,week,year,seasonNumber,home,away,homeScore,awayScore,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeRB,homeWR,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeLDE,homeUT,homeNT,homeRDE,homeSLB,homeMLB,homeWLB,homeLCB,homeRCB,homeSS,homeFS,awayQB,awayRB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayLDE,awayLDT,awayRDT,awayRDE,awaySLB,awayMLB,awayWLB,awayLCB,awayRCB,awaySS,awayFS,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,away Third Down Conv.,home Third Down Conv.,away Fourth Down Conv.,home Fourth Down Conv.,away Time of Possession,home Time of Possession,awayDB,awayDE,awayLLB,awayRLB,homeFB,homeFL,homeLDT,homeLLB,homeRDT,homeRLB,awayDT,awayFB,awayLB,awayS,homeDE,homeHB,homeLC,homeLILB,homeLOLB,homeRC,homeRILB,homeROLB,homeSE,awayCB,homeDB,awayNT,homeCB,homeOLB,awayWILB,awayILB,awayOLB,homeDT,homeILB,awayLILB,awayLOLB,awayRILB,awayROLB,awayG,awayT,homeSILB,homeSOLB,homeWILB,homeWOLB,homeG,homeT,awayHB,homeLB,homeLS,homeRS,awayDL,awayLC,awayRC,awayD,awaySILB,awaySOLB,homeXR,homeZR,awayUT,homeDL,awaySAM,awayWILL,awayLS,awayRS,homeM,awayWOLB,homeS,awayB,awayZ,awayWIL,homeSAM,homeWIL,homeOT,awayFL,awaySE,homeNG,awayOT,homeOL,homeWILL,awayOG,awayOL
129,November 5,10,2000,81,New Orleans Saints,San Francisco 49ers,31,15,Jim Haslett,Steve Mariucci,6-3,2-8,dome,astroturf,New Orleans Saints -5.5,48.0 (under),Jeff Blake,Ricky Williams,Willie Jackson,Lamont Hall,Willie Roaf,Wally Williams,Jerry Fontenot,Chris Naeole,Kyle Turley,Darren Howard,,,Joe Johnson,,Darrin Smith,,Kevin Mathis,Fred Weary,Sammy Knight,Darren Perry,Jeff Garcia,Charlie Garner,Jerry Rice,Greg Clark,Derrick Deese,Ray Brown,Jeremy Newberry,Dave Fiore,Scott Gragg,Anthony Pleasant,Bryant Young,Brentson Buckner,John Engelberger,,,,Monty Montgomery,Jason Webster,Lance Schulters,Pierson Prioleau,19,25,20-84-1,38-111-1,22-36-262-1-2,21-27-288-3-0,0-0,4-39,262,249,346,360,1-0,0-0,2,0,14-97,10-54,4-11,8-15,2-2,2-2,23:10,36:50,,,,,,,Norman Hand,Keith Mitchell,La'Roi Glover,Mark Fields,,Fred Beasley,,,,,,,,,,,,,,,,,,,,,,Ken Norton Jr.,Jeff Posey,Winfred Tubbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,November 5,10,2000,81,Chicago Bears,Indianapolis Colts,27,24,Dick Jauron,Jim Mora,2-7,6-3,outdoors,grass,Indianapolis Colts -7.0,45.0 (over),Jim Miller,Curtis Enis,Marcus Robinson,Dustin Lyman,Blake Brockermeyer,Todd Perry,Olin Kreutz,Chris Villarrial,James Williams,Bryan Robinson,,,Phillip Daniels,Sean Harris,Brian Urlacher,Warrick Holdman,,,Tony Parrish,Mike Brown,Peyton Manning,Edgerrin James,Jerome Pathon,Ken Dilger,Tarik Glenn,Steve McKinney,Jeff Saturday,Larry Moore,Adam Meadows,Bernard Holsey,,,Chad Bratzke,,Dwight Hollier,,Jeff Burris,,Chad Cota,Jason Belser,20,20,20-90-1,35-143-1,26-39-302-2-1,25-36-227-1-0,2-21,0-0,281,227,371,370,1-1,0-0,2,0,7-81,8-58,6-13,8-15,2-2,1-2,24:37,35:23,Tyrone Poole,Bernard Whittington,Cornelius Bennett,Mike Peterson,,,Jim Flanigan,,Mike Wells,,Josh Williams,,,,,,,,,,,,,,,,Thomas Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,November 5,10,2000,81,New England Patriots,Buffalo Bills,13,16,Bill Belichick,Wade Phillips,2-7,5-4,outdoors,grass,New England Patriots -2.0,39.0 (under),Drew Bledsoe,Kevin Faulk,Terry Glenn,Rod Rutledge,Bruce Armstrong,Joe Andruzzi,Damien Woody,Sale Isaia,Max Lane,,,Henry Thomas,,Chris Slade,,Rob Holmberg,Ty Law,Otis Smith,Lawyer Milloy,Tebucky Jones,Doug Flutie,Sammy Morris,Peerless Price,Sheldon Jackson,John Fina,Ruben Brown,Jerry Ostroski,Jamie Nails,Marcus Spriggs,Shawn Price,,,Marcellus Wiley,,,,Antoine Winfield,Ken Irvin,Henry Jones,Keion Carpenter,20,14,31-141-0,34-89-1,18-37-179-1-0,14-27-116-0-2,1-5,3-16,174,100,315,189,2-1,1-0,1,2,7-73,8-103,5-15,6-17,0-0,1-1,31:54,32:38,,,,,Tony Carter,,,,,,,,,,Willie McGinest,,,,,,,,,,,Ted Washington,,,Sam Cowart,,,,Ted Johnson,,,,,,,,,,,,,,,,,,,,,John Holecek,Keith Newman,,,,,,,,,,Sam Rogers,,,,,,,,,,,,,,,
132,November 5,10,2000,81,Atlanta Falcons,Tampa Bay Buccaneers,14,27,Dan Reeves,Tony Dungy,3-7,5-4,dome,astroturf,Tampa Bay Buccaneers -7.0,40.0 (over),Chris Chandler,Jamal Anderson,Shawn Jefferson,Reggie Kelly,Bob Whitfield,Calvin Collins,Todd McClure,Travis Claridge,Ephraim Salaam,Patrick Kerney,,,Brady Smith,Henri Crockett,Jeff Kelly,Chris Draft,Ray Buchanan,Ashley Ambrose,Marty Carter,Ronnie Bradford,Shaun King,Warrick Dunn,Keyshawn Johnson,Dave Moore,Pete Pierson,Randall McDaniel,Jeff Christy,Frank Middleton,Jerry Wunsch,Chidi Ahanotu,Anthony McFarland,,Marcus Jones,Alshermond Singleton,Jamie Duncan,Derrick Brooks,Donnie Abraham,Ronde Barber,John Lynch,Damien Robinson,15,22,36-126-0,15-59-0,12-26-146-3-1,30-50-247-2-4,2-5,4-23,141,224,267,283,1-1,0-0,2,4,4-43,5-25,4-14,6-14,2-3,1-2,30:15,29:45,,,,,,,Travis Hall,,Ed Jasper,,Warren Sapp,Mike Alstott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,November 5,10,2000,81,Philadelphia Eagles,Dallas Cowboys,16,13,Andy Reid,Dave Campo,6-4,3-6,outdoors,astroturf,Philadelphia Eagles -3.0,40.0 (under),Donovan McNabb,Darnell Autry,Charles Johnson,Chad Lewis,Tra Thomas,John Welbourn,Bubba Miller,Jermane Mayberry,Jon Runyan,Brandon Whiting,,,Hugh Douglas,Carlos Emmons,Jeremiah Trotter,Barry Gardner,Troy Vincent,Bobby Taylor,Damon Moore,Brian Dawkins,Randall Cunningham,Emmitt Smith,Rocket Ismail,David LaFleur,Flozell Adams,Larry Allen,Mark Stepnoski,Solomon Page,Erik Williams,Alonzo Spellman,Leon Lett,Brandon Noble,Greg Ellis,Darren Hambrick,Barron Wortham,Dexter Coakley,Phillippi Sparks,Ryan McNeil,Darren Woodson,George Teague,16,23,46-204-1,31-129-0,14-22-109-0-1,23-42-228-1-2,3-18,0-0,91,228,295,357,3-1,1-0,2,2,12-97,7-91,6-17,6-16,2-4,0-0,34:50,33:05,,,,,Cecil Martin,,Corey Simon,,Hollis Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,November 5,10,2000,81,Tennessee Titans,Pittsburgh Steelers,9,7,Jeff Fisher,Bill Cowher,8-1,5-4,outdoors,grass,Tennessee Titans -8.0,36.5 (under),Steve McNair,Eddie George,Chris Sanders,Frank Wycheck,Fred Miller,Bruce Matthews,Kevin Long,Benji Olson,,Jevon Kearse,,,Kenny Holmes,,Randall Godfrey,,Denard Walker,,Blaine Bishop,Marcus Robertson,Kordell Stewart,,Hines Ward,Mark Bruener,Wayne Gandy,Alan Faneca,Dermontti Dawson,Rich Tylski,Larry Tharpe,Aaron Smith,,,Kevin Henry,,,,Chad Scott,Dewayne Washington,Lee Flowers,Brent Alexander,10,21,20-74-0,40-148-0,7-22-112-1-1,20-31-227-0-1,2-19,1-11,93,216,167,364,4-2,1-0,3,1,4-25,14-115,4-11,6-15,0-0,1-1,20:30,39:30,,,,,,,John Thornton,Greg Favors,Jason Fisk,Eddie Robinson,,,,,,,,,,,,,,,,Kimo von Oelhoffen,Samari Rolle,,,,,,,Levon Kirkland,Jason Gildon,Earl Holmes,Joey Porter,,,,,,,,,Jerome Bettis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,November 5,10,2000,81,Cincinnati Bengals,Baltimore Ravens,7,27,Dick LeBeau,Brian Billick,2-7,6-4,outdoors,grass,Baltimore Ravens -6.0,32.5 (over),Akili Smith,,Craig Yeast,Marco Battaglia,Rod Jones,Matt O'Dwyer,Brock Gutierrez,Mike Goff,Willie Anderson,Vaughn Booker,,,Michael Bankston,,Armegis Spearman,,Tom Carter,Rodney Heath,Chris Carter,Darryl Williams,Trent Dilfer,Jamal Lewis,Patrick Johnson,Shannon Sharpe,Jonathan Ogden,Edwin Mulitalo,Jeff Mitchell,Mike Flynn,Harry Swayne,Rob Burnett,Sam Adams,Tony Siragusa,Michael McCrary,,Ray Lewis,,Duane Starks,Chris McAlister,Kim Herring,Rod Woodson,19,11,31-142-0,26-44-1,23-34-244-3-0,15-27-137-0-0,1-8,3-7,236,130,378,174,0-0,2-1,0,1,6-50,6-40,6-15,3-13,0-0,0-2,33:13,26:47,,,Peter Boulware,Jamie Sharper,,,Oliver Gibson,Steve Foley,John Copeland,Takeo Spikes,,,,,,Corey Dillon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,November 5,10,2000,81,Cleveland Browns,New York Giants,3,24,Chris Palmer,Jim Fassel,2-8,7-2,outdoors,grass,New York Giants -10.0,33.5 (under),Doug Pederson,Travis Prentice,Kevin Johnson,Mark Campbell,Roman Oben,Jim Bundren,Dave Wohlabaugh,Everett Lindsay,Steve Zahursky,Courtney Brown,,,Keith McKenzie,Jamir Miller,Wali Rainer,Marty Moore,Corey Fuller,Daylon McCutcheon,Marquis Smith,Percy Ellsworth,Kerry Collins,Tiki Barber,Ike Hilliard,Howard Cross,Lomas Brown,Glenn Parker,Dusty Zeigler,Ron Stone,Luke Petitgout,Michael Strahan,Christian Peter,Keith Hamilton,Cedric Jones,Jessie Armstead,Micheal Barrow,,Dave Thomas,Emmanuel McDaniel,Sam Garnes,Shaun Williams,24,11,44-149-0,16-41-0,19-31-257-3-0,17-29-176-0-1,2-36,4-24,221,152,370,193,2-1,0-0,1,1,3-39,4-55,10-17,5-13,0-0,0-1,36:40,23:20,,,,,Marc Edwards,,Orpheus Roye,,Stalin Colinet,,,Greg Comella,,,,,,,,,,,,,,,,,,,Ryan Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,November 5,10,2000,81,Oakland Raiders,Kansas City Chiefs,49,31,Jon Gruden,Gunther Cunningham,8-1,5-4,outdoors,grass,Oakland Raiders -3.5,44.0 (over),Rich Gannon,Tyrone Wheatley,James Jett,Rickey Dudley,Barry Sims,Steve Wisniewski,Barret Robbins,Mo Collins,Lincoln Kennedy,,,,,,Greg Biekert,,,,Marquez Pope,Anthony Dorsett,Elvis Grbac,Kimble Anders,Sylvester Morris,Tony Gonzalez,John Tait,Jeff Blackshear,Donald Willis,Will Shields,Victor Riley,,,,,,Marvcus Patton,,,,Greg Wesley,Jerome Woods,31,31,9-39-2,42-231-3,39-53-504-2-2,20-31-242-4-0,4-30,0-0,474,242,513,473,1-1,0-0,3,0,9-80,9-81,3-8,9-13,1-1,0-0,21:31,38:29,,Duane Clemons,,,Jon Ritchie,,,,,,Chester McGlockton,Tony Richardson,,,Regan Upshaw,,,,,,,,,James Hasty,,,Charles Woodson,William Thomas,,,Lewis Bush,Grady Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,November 5,10,2000,81,Arizona Cardinals,Washington Redskins,16,15,Vince Tobin,Norv Turner,3-6,6-4,outdoors,grass,Washington Redskins -10.0,40.0 (under),Jake Plummer,Michael Pittman,Frank Sanders,Terry Hardy,L.J. Shelton,Chris Dishman,Mike Gruttadauria,Lester Holmes,Anthony Clement,Andre Wadsworth,,,Brad Ottis,,Ronald McKinnon,,Tom Knight,Aeneas Williams,Pat Tillman,Kwamie Lassiter,Jeff George,Larry Centers,James Thrash,Stephen Alexander,Chris Samuels,Keith Sims,Mark Fischer,Jay Leeuwenburg,Jon Jansen,Marco Coleman,Dan Wilkinson,Dana Stubblefield,Bruce Smith,,Derek Smith,,Champ Bailey,Deion Sanders,Sam Shade,Mark Carrier,27,11,37-164-1,24-45-1,20-39-276-0-2,12-19-146-0-1,2-18,1-13,258,133,422,178,1-1,2-1,3,2,8-59,8-74,8-15,5-10,0-1,0-0,37:26,22:34,,,Eddie Mason,LaVar Arrington,Joel Makovicka,,Russell Davis,Raynoch Thompson,Mao Tosi,Zack Walz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,November 5,10,2000,81,Seattle Seahawks,San Diego Chargers,17,15,Mike Holmgren,Mike Riley,3-7,0-9,outdoors,fieldturf,Seattle Seahawks -4.5,39.5 (under),Jon Kitna,Ricky Watters,Derrick Mayes,Christian Fauria,Walter Jones,Pete Kendall,Chris Gray,Floyd Wedderburn,Chris McIntosh,Michael Sinclair,,,Lamar King,,George Koonce,,Shawn Springs,Willie Williams,Kerry Joseph,Jay Bellamy,Jim Harbaugh,Jermaine Fazande,Jeff Graham,Steve Heiden,Ben Coleman,Raleigh Roundtree,Roman Fortin,Kevin Gogan,Vaughn Parker,Albert Fontenot,Jamal Williams,John Parrella,Darren Mickell,,Orlando Ruff,,Fakhir Brown,DeRon Jenkins,Rodney Harrison,Mike Dumas,22,9,33-116-0,25-50-0,26-37-283-1-1,11-19-85-2-1,1-1,1-7,282,78,398,128,3-2,0-0,3,1,9-53,5-34,9-15,4-11,0-0,0-0,39:51,20:09,,,,,Mack Strong,,Riddick Parker,,Cortez Kennedy,,,,,,,,,,Anthony Simmons,,,Chad Brown,,,,,,,,,,,,,Gerald Dixon,,Junior Seau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,November 5,10,2000,81,New York Jets,Denver Broncos,23,30,Al Groh,Mike Shanahan,6-3,5-4,outdoors,grass,New York Jets -3.0,45.5 (over),Vinny Testaverde,Curtis Martin,Wayne Chrebet,Anthony Becht,Jason Fabini,Kerry Jenkins,Kevin Mawae,Randy Thomas,Ryan Young,Rick Lyle,,Jason Ferguson,Shane Burton,,,,Aaron Glenn,Marcus Coleman,Chris Hayes,,Brian Griese,Terrell Davis,Rod Smith,Dwayne Carswell,Tony Jones,Lennie Friedman,Tom Nalen,Dan Neil,Matt Lepsis,Maa Tanuvasa,Keith Traylor,Trevor Pryce,Kavika Pittman,Bill Romanowski,Al Wilson,John Mobley,Ray Crockett,Terrell Buckley,Billy Jenkins,Eric Brown,23,22,39-130-1,17-88-1,22-35-327-2-1,21-42-293-1-2,1-10,0-0,317,293,447,381,0-0,1-1,1,3,6-57,2-10,12-18,3-9,0-0,0-1,36:47,23:13,,,,,,,,,,,,Howard Griffith,,,Shaun Ellis,,,,Mo Lewis,,Marvin Jones,James Farrior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,November 5,10,2000,81,St. Louis Rams,Carolina Panthers,24,27,Mike Martz,George Seifert,7-2,4-5,dome,astroturf,St. Louis Rams -13.5,59.5 (under),Trent Green,Justin Watson,Torry Holt,,Orlando Pace,Tom Nutten,Andy McCollum,Adam Timmerman,Ryan Tucker,Sean Moran,,,Grant Wistrom,,,,Dexter McCleon,Dre' Bly,Devin Bush Sr.,Keith Lyle,Steve Beuerlein,Tim Biakabutuka,Isaac Byrd,,Jeno James,Matt Campbell,Frank Garcia,Jamar Nesbit,Chris Terry,Reggie White,Tim Morabito,Sean Gilbert,,,,Lee Woodall,Eric Davis,Doug Evans,Mike Minter,Eugene Robinson,18,20,24-90-0,16-31-1,15-25-214-2-1,29-42-431-2-0,5-36,5-36,178,395,268,426,1-1,3-2,2,2,5-40,7-52,2-10,7-14,1-1,1-1,28:35,31:25,,Mike Rucker,,,,,Ray Agnew,,D'Marco Farr,,,,,Damien Richardson,,,,,,,,,,Jimmy Hitchcock,,,Jacoby Shepherd,,,,,,,,,,,,,,,,,,,,Mike Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,November 6,10,2000,81,Green Bay Packers,Minnesota Vikings,26,20,Mike Sherman,Dennis Green,4-5,7-2,outdoors,grass,Minnesota Vikings -3.5,47.5 (under),Brett Favre,Ahman Green,Bill Schroeder,Bubba Franks,Chad Clifton,Ross Verba,Frank Winters,Marco Rivera,Mark Tauscher,Vonnie Holliday,,Russell Maryland,John Thierry,Na'il Diggs,Bernardo Harris,Nate Wayne,Mike McKenzie,Tyrone Williams,LeRoy Butler,Darren Sharper,Daunte Culpepper,Robert Smith,Randy Moss,John Davis,Todd Steussie,Corbin Lacina,Matt Birk,David Dixon,Korey Stringer,John Randle,,,Talance Sawyer,Dwayne Rudd,Kailee Wong,,Cris Dishman,Robert Tate,Robert Griffith,,22,19,33-157-0,26-81-1,17-35-276-2-4,17-36-235-2-0,3-26,2-18,250,217,407,298,1-1,0-0,5,0,11-129,8-63,6-14,4-14,0-0,0-0,35:53,27:46,,,,,,,,,,,,Jim Kleinsasser,,Tyrone Carter,,,,,,,,,,Kenny Wright,,Chris Hovan,,,,,,Santana Dotson,,,,,,,,,,,,,,,,,,,,,,,,,,Tony Williams,,,,,,,,,,,,,,,,,,,,,,
143,November 12,11,2000,81,Dallas Cowboys,Cincinnati Bengals,23,6,Dave Campo,Dick LeBeau,4-6,2-8,outdoors,astroturf,Dallas Cowboys -8.5,39.0 (under),Troy Aikman,Emmitt Smith,Jason Tucker,David LaFleur,Flozell Adams,Larry Allen,Mark Stepnoski,Solomon Page,Erik Williams,Alonzo Spellman,,,Greg Ellis,Darren Hambrick,Barron Wortham,Dexter Coakley,Phillippi Sparks,Ryan McNeil,Darren Woodson,Izell Reese,Akili Smith,,Craig Yeast,Marco Battaglia,John Jackson,Matt O'Dwyer,Rich Braham,Mike Goff,Willie Anderson,Vaughn Booker,Oliver Gibson,John Copeland,Michael Bankston,,Armegis Spearman,,Tom Carter,Rodney Heath,Chris Carter,Darryl Williams,15,22,32-139-0,32-97-1,10-25-68-0-1,24-37-308-1-0,3-12,0-0,56,308,195,405,2-1,2-1,2,1,7-94,13-100,5-15,7-15,1-3,1-1,24:35,35:25,,,Steve Foley,Takeo Spikes,Robert Thomas,,Michael Myers,,Brandon Noble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corey Dillon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,November 12,11,2000,81,Minnesota Vikings,Arizona Cardinals,31,14,Dennis Green,Vince Tobin,8-2,3-7,dome,astroturf,Minnesota Vikings -12.5,46.0 (under),Daunte Culpepper,Robert Smith,Randy Moss,John Davis,Todd Steussie,Corbin Lacina,Matt Birk,David Dixon,Korey Stringer,John Randle,Tony Williams,Chris Hovan,Talance Sawyer,Dwayne Rudd,Kailee Wong,Ed McDaniel,Kenny Wright,Robert Tate,Robert Griffith,,Jake Plummer,Michael Pittman,Frank Sanders,Terry Hardy,L.J. Shelton,Matt Joyce,Mike Gruttadauria,Chris Dishman,Anthony Clement,Andre Wadsworth,Russell Davis,Mao Tosi,Brad Ottis,,Ronald McKinnon,,Aeneas Williams,Corey Chavous,Pat Tillman,Kwamie Lassiter,14,29,18-51-1,32-158-1,19-28-219-0-0,26-34-306-3-1,2-21,2-4,198,302,249,460,3-2,1-1,2,2,8-65,4-35,6-12,6-9,0-1,0-1,25:52,34:08,,,Zack Walz,Rob Fredrickson,Jim Kleinsasser,,,,,,,Joel Makovicka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tyrone Carter,,,,,,,,,,,,,,
145,November 12,11,2000,81,Pittsburgh Steelers,Philadelphia Eagles,23,26,Bill Cowher,Andy Reid,5-5,7-4,outdoors,astroturf,Pittsburgh Steelers -3.5,33.0 (over),Kordell Stewart,,Hines Ward,Mark Bruener,Wayne Gandy,Alan Faneca,Roger Duffy,Rich Tylski,Larry Tharpe,Aaron Smith,,Kimo von Oelhoffen,Kevin Henry,,,,Chad Scott,Dewayne Washington,Lee Flowers,Brent Alexander,Donovan McNabb,Darnell Autry,Charles Johnson,Chad Lewis,Tra Thomas,John Welbourn,Bubba Miller,Jermane Mayberry,Jon Runyan,Brandon Whiting,Corey Simon,Hollis Thomas,Hugh Douglas,,Jeremiah Trotter,,Troy Vincent,Bobby Taylor,Damon Moore,Brian Dawkins,21,21,22-88-0,37-182-1,26-55-213-2-0,14-31-159-0-1,3-11,3-19,202,140,290,322,1-1,0-0,1,1,9-61,13-141,5-17,4-15,1-1,0-0,31:10,33:06,,,,,Dan Kreider,,,,,,,Cecil Martin,,,,Jerome Bettis,,Levon Kirkland,Jason Gildon,,Earl Holmes,Joey Porter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carlos Emmons,,,,,,,,,Barry Gardner,,,,,,,,,,,
146,November 12,11,2000,81,Detroit Lions,Atlanta Falcons,13,10,Gary Moeller,Dan Reeves,6-4,3-8,dome,astroturf,Detroit Lions -8.5,40.0 (under),Charlie Batch,,,Walter Rasby,Stockar McDougle,Mike Compton,Eric Beverly,Jeff Hartings,Aaron Gibson,Robert Porcher,Luther Elliss,James Jones,Tracy Scroggins,Allen Aldridge,Stephen Boyd,Chris Claiborne,Bryant Westbrook,Terry Fair,Ron Rice,Kurt Schulz,Danny Kanell,Jamal Anderson,Shawn Jefferson,Reggie Kelly,Bob Whitfield,Calvin Collins,Todd McClure,Travis Claridge,Ephraim Salaam,Patrick Kerney,Travis Hall,Ed Jasper,Brady Smith,Henri Crockett,Jeff Kelly,Chris Draft,Ray Buchanan,Ashley Ambrose,Marty Carter,Ronnie Bradford,17,12,29-114-1,33-107-1,14-34-126-0-2,12-27-128-0-1,3-22,2-13,104,115,218,222,3-0,0-0,2,1,10-82,9-70,2-14,3-16,1-1,0-0,30:32,29:28,,,,,Cory Schlesinger,,,,,,,,,,,James Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johnnie Morton,Herman Moore,,,,,,,,,,,,,,,,,,,,,,,
147,November 12,11,2000,81,Carolina Panthers,New Orleans Saints,10,20,George Seifert,Jim Haslett,4-6,7-3,outdoors,grass,New Orleans Saints -2.0,37.5 (under),Steve Beuerlein,,Muhsin Muhammad,Kris Mangum,Jeno James,Matt Campbell,Frank Garcia,Jamar Nesbit,Chris Terry,Reggie White,,,Jay Williams,Dean Wells,Lester Towns,Lee Woodall,Eric Davis,Doug Evans,Mike Minter,Eugene Robinson,Jeff Blake,Ricky Williams,Joe Horn,Andrew Glover,Willie Roaf,Wally Williams,Jerry Fontenot,Chris Naeole,Kyle Turley,Darren Howard,Norman Hand,La'Roi Glover,Joe Johnson,,Darrin Smith,,Kevin Mathis,Fred Weary,Sammy Knight,Darren Perry,16,21,31-157-0,17-53-0,14-23-179-1-1,24-42-295-1-2,2-14,8-37,165,258,322,311,4-1,4-3,2,5,8-99,3-22,4-12,8-14,1-1,1-1,28:37,31:23,,,,,,,Tim Morabito,,Sean Gilbert,,,Terrelle Smith,,,,,,,,,,,,Alex Molden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,November 12,11,2000,81,Buffalo Bills,Chicago Bears,20,3,Wade Phillips,Dick Jauron,6-4,2-8,outdoors,astroturf,Buffalo Bills -7.0,39.5 (under),Doug Flutie,Sammy Morris,Jeremy McDaniel,Jay Riemersma,John Fina,Ruben Brown,Jerry Ostroski,Jamie Nails,Marcus Spriggs,Shawn Price,,Ted Washington,Marcellus Wiley,,,,Antoine Winfield,Ken Irvin,Henry Jones,Keion Carpenter,Jim Miller,James Allen,Marcus Robinson,Kaseem Sinceno,Blake Brockermeyer,Todd Perry,Olin Kreutz,,James Williams,Clyde Simmons,Phillip Daniels,Bryan Robinson,Rosevelt Colvin,,,,Walt Harris,Thomas Smith,Tony Parrish,Mike Brown,12,14,21-99-0,35-105-1,20-37-146-0-3,18-29-200-0-1,2-11,1-6,135,194,234,299,1-1,2-0,4,1,3-20,3-15,4-13,3-15,0-0,1-2,24:44,35:16,R.W. McQuarters,,Warrick Holdman,Brian Urlacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Villarrial,,John Holecek,Keith Newman,Sam Cowart,Sam Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,November 12,11,2000,81,Jacksonville Jaguars,Seattle Seahawks,21,28,Tom Coughlin,Mike Holmgren,3-7,4-7,outdoors,grass,Jacksonville Jaguars -7.5,40.5 (over),Mark Brunell,Fred Taylor,Anthony Johnson,Kyle Brady,Tony Boselli,Brad Meester,Jeff Smith,Brendan Stai,Todd Fordham,,,,Tony Brackens,,T.J. Slaughter,Kevin Hardy,Fernando Bryant,,Donovin Darius,Mike Logan,Jon Kitna,Ricky Watters,Derrick Mayes,Christian Fauria,Walter Jones,Pete Kendall,Chris Gray,Floyd Wedderburn,Chris McIntosh,Michael Sinclair,Riddick Parker,Cortez Kennedy,Lamar King,,George Koonce,,Shawn Springs,,Kerry Joseph,Jay Bellamy,22,24,32-96-1,26-122-2,22-33-231-3-0,24-33-340-1-0,1-1,5-25,230,315,326,437,3-0,2-1,0,1,5-50,7-55,8-15,6-12,1-1,0-1,29:12,30:48,,,,,,,,,Seth Payne,,,Mack Strong,,,Renaldo Wynn,,,,,,,,,Chris Canty,,,Jason Craft,,,,,Gary Walker,,,Anthony Simmons,,Chad Brown,,,,,,,,,,Erik Storz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
