,year,date,week,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeRB,homeWR,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeLDE,homeLDT,homeRDT,homeRDE,homeSLB,homeMLB,homeWLB,homeLCB,homeRCB,homeSS,homeFS,awayQB,awayRB,awayFB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayDT,awayNT,awaySLB,awayMLB,awayWLB,awayJLB,awayLCB,awayRCB,awaySS,awayFS,awayDE,awayMIKE,awayRUSH,awayWILL,homeDT,homeFB,homeNT,awayLDE,awayLOLB,awayRDE,awayROLB,awayS,homeDE,homeILB,awayCB,awayOLB,homeLILB,homeLOLB,homeRILB,homeROLB,homeCB,homeEND,homeMIKE,homeOLB,homeS,homeWILL,awayLB,homeDB,awayLDT,awayRDT,awaySAM,awayHB,homeHB,homeUT,awayILB,homeBLB,awayLILB,awayRILB,awayDB,awayLOT,awayROT,homeRUSH,homeSAM,homeLB,homeLOT,homeROT,awayUT,awayEND,awayT,homeJLB,homeNB,awayBLB,homeT,awayNB,homeF,awayF,homeWR W,awayWR W,awayLLB,awayRLB,awayFSW,awayTE/F,awayNDB,homeDL
63,2012,October 4,5,St. Louis Rams,Arizona Cardinals,Jeff Fisher,Ken Whisenhunt,3-2,4-1,dome,astroplay,Arizona Cardinals -1.5,38.0 (under),Sam Bradford,,Chris Givens,Lance Kendricks,Wayne Hunter,Quinn Ojinnaka,Robert Turner,Harvey Dahl,Barry Richardson,Chris Long,Kendall Langford,Michael Brockers,Robert Quinn,,James Laurinaitis,Jo-Lonn Dunbar,Cortland Finnegan,Janoris Jenkins,Craig Dahl,Quintin Mikell,Kevin Kolb,Ryan Williams,,Early Doucet,Rob Housler,D'Anthony Batiste,Daryn Colledge,Lyle Sendlein,Adam Snyder,Bobby Massie,Darnell Dockett,Dan Williams,,,,,Patrick Peterson,Greg Toler,Adrian Wilson,Kerry Rhodes,Calais Campbell,,,,,,,,O'Brien Schofield,,Sam Acho,,,,,,,,,,Bradley Fletcher,,,,,,,,,,,,Steven Jackson,,Paris Lenon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2012,October 7,5,New York Giants,Cleveland Browns,Tom Coughlin,Pat Shurmur,3-2,0-5,outdoors,fieldturf,New York Giants -8.0,44.0 (over),Eli Manning,Ahmad Bradshaw,Domenik Hixon,Martellus Bennett,Will Beatty,Kevin Boothe,David Baas,Chris Snee,Sean Locklear,Justin Tuck,Linval Joseph,Markus Kuhn,Jason Pierre-Paul,Mathias Kiwanuka,Chase Blackburn,Spencer Paysinger,Corey Webster,Prince Amukamara,Stevie Brown,Antrel Rolle,Brandon Weeden,Trent Richardson,Owen Marecic,Josh Gordon,Ben Watson,Joe Thomas,Jason Pinkston,Alex Mack,Shawn Lauvao,Mitchell Schwartz,Ahtyba Rubin,,Scott Fujita,D'Qwell Jackson,Kaluka Maiava,,Dimitri Patterson,Sheldon Brown,T.J. Ward,Usama Young,,,,,,Henry Hynoski,,Jabaal Sheard,,Frostee Rucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2012,October 7,5,Kansas City Chiefs,Baltimore Ravens,Romeo Crennel,John Harbaugh,1-4,4-1,outdoors,grass ,Baltimore Ravens -6.5,47.0 (under),Matt Cassel,Jamaal Charles,Jonathan Baldwin,Tony Moeaki,Branden Albert,Jeff Allen,Ryan Lilja,Jon Asamoah,Eric Winston,Tyson Jackson,,,Allen Bailey,,,,Brandon Flowers,Stanford Routt,Eric Berry,Abram Elam,Joe Flacco,Ray Rice,Vonta Leach,Torrey Smith,Ed Dickson,Michael Oher,Ramon Harewood,Matt Birk,Marshal Yanda,Kelechi Osemele,Haloti Ngata,Ma'ake Kemoeatu,,,,,Lardarius Webb,Cary Williams,Bernard Pollard,Ed Reed,Pernell McPhee,Ray Lewis,Courtney Upshaw,Jameel McClain,,,Dontari Poe,,,,,,,,,,Jovan Belcher,Justin Houston,Derrick Johnson,Tamba Hali,,,,,,,,,,,Albert McClellan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2012,October 7,5,Pittsburgh Steelers,Philadelphia Eagles,Mike Tomlin,Andy Reid,2-2,3-2,outdoors,grass ,Pittsburgh Steelers -4.0,44.0 (under),Ben Roethlisberger,Rashard Mendenhall,Mike Wallace,Heath Miller,Max Starks,Willie Colon,Maurkice Pouncey,Ramon Foster,Marcus Gilbert,,,,,,,,Keenan Lewis,Ike Taylor,Troy Polamalu,Ryan Clark,Michael Vick,LeSean McCoy,Clay Harbor,Jeremy Maclin,Brent Celek,Demetress Bell,Evan Mathis,Dallas Reynolds,Danny Watkins,Todd Herremans,,,,DeMeco Ryans,,,Dominique Rodgers-Cromartie,Nnamdi Asomugha,Nate Allen,Kurt Coleman,,,,Jamar Chaney,,,Casey Hampton,Jason Babin,,Trent Cole,,,Brett Keisel,,,,Larry Foote,LaMarr Woodley,Lawrence Timmons,James Harrison,,,,,,,,,Cullen Jenkins,Derek Landri,Mychal Kendricks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2012,October 7,5,Indianapolis Colts,Green Bay Packers,Chuck Pagano,Mike McCarthy,2-2,2-3,retractable roof (closed),fieldturf ,Green Bay Packers -6.5,49.0 (over),Andrew Luck,Donald Brown,Donnie Avery,Dwayne Allen,Anthony Castonzo,Jeff Linkenbach,A.Q. Shipley,Mike McGlynn,Winston Justice,,,,,Robert Mathis,,,Cassius Vaughn,Jerraud Powers,Tom Zbikowski,Antoine Bethea,Aaron Rodgers,Cedric Benson,,James Jones,D.J. Williams,Marshall Newhouse,T.J. Lang,Jeff Saturday,Josh Sitton,Bryan Bulaga,,B.J. Raji,,D.J. Smith,,,Tramon Williams,Sam Shields,Charles Woodson,Morgan Burnett,,,,,Fili Moala,,Antonio Johnson,Ryan Pickett,Erik Walden,C.J. Wilson,Clay Matthews,,Cory Redding,,,,,,,,,,Kavell Conner,,,Jerrell Freeman,,,,,,,,,,,,,,,,Dwight Freeney,,,,,,,,,,A.J. Hawk,,,,,,,,,,,,
68,2012,October 7,5,Cincinnati Bengals,Miami Dolphins,Marvin Lewis,Joe Philbin,3-2,2-3,outdoors,fieldturf ,Cincinnati Bengals -3.0,45.0 (under),Andy Dalton,,A.J. Green,Dennis Roland,,Clint Boling,Jeff Faine,Kevin Zeitler,,Robert Geathers,,,Michael Johnson,Manny Lawson,Rey Maualuga,Vontaze Burfict,Terence Newman,Leon Hall,Nate Clements,Reggie Nelson,Ryan Tannehill,Reggie Bush,,Brian Hartline,Charles Clay,Jake Long,Richie Incognito,Mike Pouncey,John Jerry,Jonathan Martin,Paul Soliai,,,,,,,,,,,,,,Geno Atkins,,Domata Peko,Jared Odrick,,Cameron Wake,,Chris Clemons,,,Sean Smith,,,,,,,,,,,,Koa Misi,,,,,,BenJarvus Green-Ellis,,,,,,,,,,,,Andrew Whitworth,Andre Smith,,,,,,,,,,,,,,,,,,
69,2012,October 7,5,Washington Redskins,Atlanta Falcons,Mike Shanahan,Mike Smith,2-3,5-0,outdoors,grass ,Atlanta Falcons -3.0,51.0 (under),Robert Griffin III,Alfred Morris,Josh Morgan,Niles Paul,Trent Williams,Kory Lichtensteiger,Will Montgomery,Chris Chester,Tyler Polumbus,Jarvis Jenkins,,,Stephen Bowen,,London Fletcher,,DeAngelo Hall,Josh Wilson,Reed Doughty,Madieu Williams,Matt Ryan,Michael Turner,Jason Snelling,Roddy White,Tony Gonzalez,Sam Baker,Justin Blalock,Todd McClure,Garrett Reynolds,Tyson Clabo,Peria Jerry,,,Akeem Dent,,,,,,,,,,,,,Barry Cofield,Ray Edwards,,John Abraham,,William Moore,,,Dunta Robinson,Sean Weatherspoon,,,,,,,,Rob Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,Perry Riley,,,,,,,,,,,,,,
70,2012,October 7,5,Carolina Panthers,Seattle Seahawks,Ron Rivera,Pete Carroll,1-4,3-2,outdoors,grass ,Carolina Panthers -2.0,42.0 (under),Cam Newton,DeAngelo Williams,Brandon LaFell,Greg Olsen,Jordan Gross,Amini Silatolu,Ryan Kalil,Garry Williams,Byron Bell,Greg Hardy,,,Charles Johnson,James Anderson,Luke Kuechly,Thomas Davis,Captain Munnerlyn,Josh Norman,Charles Godfrey,Haruki Nakamura,Russell Wilson,Marshawn Lynch,,Sidney Rice,Evan Moore,Russell Okung,Paul McQuistan,Max Unger,James Carpenter,Breno Giacomini,,,,Bobby Wagner,,,Richard Sherman,Brandon Browner,Kam Chancellor,Earl Thomas,,,,,Dwan Edwards,,Ron Edwards,Red Bryant,,Chris Clemons,,,,,,K.J. Wright,,,,,,,,,,,,,Alan Branch,Brandon Mebane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2012,October 7,5,Jacksonville Jaguars,Chicago Bears,Mike Mularkey,Lovie Smith,1-4,4-1,outdoors,grass ,Chicago Bears -6.5,40.0 (over),Blaine Gabbert,Maurice Jones-Drew,Justin Blackmon,Guy Whimper,Eugene Monroe,Eben Britton,Brad Meester,Uche Nwaneri,Cameron Bradfield,Jeremy Mincey,,,Austen Lane,,Paul Posluszny,,Rashean Mathis,Derek Cox,Dawan Landry,Dwight Lowery,Jay Cutler,Matt Forte,,Alshon Jeffery,Matt Spaeth,J'Marcus Webb,Chilo Rachal,Roberto Garza,Lance Louis,Gabe Carimi,Henry Melton,Stephen Paea,,Brian Urlacher,Lance Briggs,,Tim Jennings,Charles Tillman,Major Wright,Chris Conte,,,,,C.J. Mosley,,,Israel Idonije,,Julius Peppers,,,,,,,,,,,,,,Russell Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D.J. Moore,,,,,,,,,,
72,2012,October 7,5,Minnesota Vikings,Tennessee Titans,Leslie Frazier,Mike Munchak,4-1,1-4,dome,sportturf,Minnesota Vikings -6.0,44.0 (under),Christian Ponder,,Jerome Simpson,John Carlson,Matt Kalil,Charlie Johnson,John Sullivan,Brandon Fusco,Phil Loadholt,Brian Robison,,,Jared Allen,Chad Greenway,Jasper Brinkley,Erin Henderson,Josh Robinson,Chris Cook,Jamarca Sanford,Harrison Smith,Matt Hasselbeck,,Quinn Johnson,Kendall Wright,Craig Stevens,Michael Roos,Steve Hutchinson,Fernando Velasco,Leroy Harris,David Stewart,Sen'Derrick Marks,,Akeem Ayers,Colin McCarthy,Zach Brown,,,,Michael Griffin,Jordan Babineaux,Kamerion Wimbley,,,,,,Letroy Guion,,,,,,,,Jason McCourty,,,,,,,,,,,,,,,,,Chris Johnson,Adrian Peterson,Kevin Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2012,October 7,5,San Francisco 49ers,Buffalo Bills,Jim Harbaugh,Chan Gailey,4-1,2-3,outdoors,grass ,San Francisco 49ers -10.0,45.0 (over),Alex Smith,Frank Gore,Mario Manningham,Vernon Davis,Joe Staley,Mike Iupati,Jonathan Goodwin,Alex Boone,Anthony Davis,,Ray McDonald,Justin Smith,,,,,Carlos Rogers,Tarell Brown,Donte Whitner,Dashon Goldson,Ryan Fitzpatrick,Fred Jackson,,Donald Jones,Scott Chandler,Chris Hairston,Andy Levitre,Eric Wood,Colin Brown,Erik Pears,,Kyle Williams,Arthur Moats,Kelvin Sheppard,Nick Barnett,,Aaron Williams,Stephon Gilmore,George Wilson,Jairus Byrd,,,,,,Bruce Miller,,Mario Williams,,Mark Anderson,,,,Patrick Willis,,,,,,,Chris Culliver,,,Ahmad Brooks,,,,,Marcell Dareus,Keith Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2012,October 7,5,New England Patriots,Denver Broncos,Bill Belichick,John Fox,3-2,2-3,outdoors,fieldturf ,New England Patriots -6.0,51.5 (over),Tom Brady,Danny Woodhead,Deion Branch,Rob Gronkowski,Nate Solder,Logan Mankins,Ryan Wendell,Dan Connolly,Sebastian Vollmer,Rob Ninkovich,Vince Wilfork,Kyle Love,Chandler Jones,,,,Devin McCourty,Kyle Arrington,,,Peyton Manning,,,Demaryius Thomas,Joel Dreessen,Ryan Clady,Zane Beadles,Dan Koppen,Manuel Ramirez,Orlando Franklin,,Mitch Unrein,Von Miller,Joe Mays,Wesley Woodyard,,Champ Bailey,Tracy Porter,Mike Adams,Rahim Moore,,,,,,,,Derek Wolfe,,Elvis Dumervil,,,,,Chris Harris Jr.,,,,,,,,,,Tavon Wilson,,,,,,,,,,,,,,,,,,,Tracy White,,,,,,,,,,,,,,,,,,,,
75,2012,October 7,5,New Orleans Saints,San Diego Chargers,Aaron Kromer,Norv Turner,1-4,3-2,dome,sportturf,New Orleans Saints -3.5,52.5 (over),Drew Brees,Darren Sproles,Devery Henderson,Jimmy Graham,Jermon Bushrod,Ben Grubbs,Brian De La Puente,Jahri Evans,Zach Strief,Cameron Jordan,,,Will Smith,Scott Shanle,Curtis Lofton,,Jabari Greer,Patrick Robinson,Roman Harper,Malcolm Jenkins,Philip Rivers,Jackie Battle,,Malcom Floyd,Randy McMichael,Jared Gaither,Tyronne Green,Nick Hardwick,Louis Vasquez,Jeromey Clary,,,,,,,Quentin Jammer,Antoine Cason,Atari Bigby,Eric Weddle,,,,,Brodrick Bunkley,Jed Collins,,Vaughn Martin,,Corey Liuget,,,,,Marcus Gilchrist,Jarret Johnson,,,,,Corey White,,,,,,,,,,,,,,Donald Butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2012,October 8,5,New York Jets,Houston Texans,Rex Ryan,Gary Kubiak,2-3,5-0,outdoors,fieldturf,Houston Texans -10.0,41.0 (under),Mark Sanchez,Shonn Greene,Jeremy Kerley,Jeff Cumberland,D'Brickashaw Ferguson,Matt Slauson,Nick Mangold,Brandon Moore,Austin Howard,,,,,,,,,,,,Matt Schaub,Arian Foster,Garrett Graham,Kevin Walter,Owen Daniels,Duane Brown,Wade Smith,Chris Myers,Antoine Caldwell,Derek Newton,,Shaun Cody,Brooks Reed,Bradie James,Connor Barwin,,Kareem Jackson,Johnathan Joseph,Danieal Manning,Glover Quin,Antonio Smith,,,,,Lex Hilliard,Kenrick Ellis,,,,,,,,,,,,,,Kyle Wilson,Muhammad Wilkerson,David Harris,Calvin Pace,LaRon Landry,Bart Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,Mike DeVito,,,,,,,,,,,
77,2012,October 11,6,Tennessee Titans,Pittsburgh Steelers,Mike Munchak,Mike Tomlin,2-4,2-3,outdoors,grass ,Pittsburgh Steelers -6.5,43.0 (over),Matt Hasselbeck,,Kendall Wright,Craig Stevens,Michael Roos,Steve Hutchinson,Fernando Velasco,Leroy Harris,David Stewart,,,,,Akeem Ayers,Colin McCarthy,Zach Brown,,,Michael Griffin,Jordan Babineaux,Ben Roethlisberger,Rashard Mendenhall,Will Johnson,Antonio Brown,Heath Miller,Max Starks,Willie Colon,Maurkice Pouncey,Ramon Foster,Marcus Gilbert,,Casey Hampton,,,,,Keenan Lewis,Ike Taylor,Will Allen,Ryan Clark,Evander Hood,,,,Sen'Derrick Marks,Quinn Johnson,,,Jason Worilds,,James Harrison,,Kamerion Wimbley,,,,,,,,Jason McCourty,,,,,,,,,,,,Chris Johnson,,,,Larry Foote,Lawrence Timmons,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2012,October 14,6,Miami Dolphins,St. Louis Rams,Joe Philbin,Jeff Fisher,3-3,3-3,outdoors,grass ,Miami Dolphins -5.0,38.0 (under),Ryan Tannehill,Reggie Bush,Brian Hartline,Anthony Fasano,Jake Long,Richie Incognito,Mike Pouncey,John Jerry,Jonathan Martin,Jared Odrick,,,Cameron Wake,,,,,,,,Sam Bradford,Steven Jackson,,Chris Givens,Lance Kendricks,Wayne Hunter,Quinn Ojinnaka,Robert Turner,Harvey Dahl,Barry Richardson,,,Rocky McIntosh,James Laurinaitis,Jo-Lonn Dunbar,,Cortland Finnegan,Janoris Jenkins,Craig Dahl,Quintin Mikell,,,,,Paul Soliai,Jorvorskie Lane,,Chris Long,,Robert Quinn,,,,,,,,,,,Sean Smith,,,,Chris Clemons,,,,Kendall Langford,Michael Brockers,,,,,,,,,,,,,,Karlos Dansby,,,,,,,,,,,,,,,,,,,,
79,2012,October 14,6,Tampa Bay Buccaneers,Kansas City Chiefs,Greg Schiano,Romeo Crennel,2-3,1-5,outdoors,grass ,Tampa Bay Buccaneers -5.0,39.5 (over),Josh Freeman,Doug Martin,Vincent Jackson,Dallas Clark,Donald Penn,Carl Nicks,Jeremy Zuttah,Jamon Meredith,Demar Dotson,Michael Bennett,,,Daniel Te'o-Nesheim,Quincy Black,Mason Foster,Lavonte David,E.J. Biggers,Eric Wright,Mark Barron,Ronde Barber,Brady Quinn,Jamaal Charles,,Dexter McCluster,Steve Maneri,Branden Albert,Jeff Allen,Ryan Lilja,Jon Asamoah,Eric Winston,,Dontari Poe,,,,,Brandon Flowers,Stanford Routt,Eric Berry,Kendrick Lewis,,,,,Roy Miller,Erik Lorig,,Tyson Jackson,Justin Houston,Ropati Pitoitua,Tamba Hali,,,,,,,,,,,,,,,,,,,,,,,,,,Jovan Belcher,Derrick Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2012,October 14,6,Atlanta Falcons,Oakland Raiders,Mike Smith,Dennis Allen,6-0,1-4,dome,fieldturf ,Atlanta Falcons -10.0,49.0 (under),Matt Ryan,Michael Turner,Roddy White,Tony Gonzalez,Sam Baker,Justin Blalock,Todd McClure,Garrett Reynolds,Tyson Clabo,Ray Edwards,,,John Abraham,,Akeem Dent,,,,,,Carson Palmer,Darren McFadden,Marcel Reece,Denarius Moore,Brandon Myers,Jared Veldheer,Cooper Carlisle,Stefen Wisniewski,Mike Brisiel,Willie Smith,Richard Seymour,Tommy Kelly,Philip Wheeler,Rolando McClain,Miles Burris,,Michael Huff,Pat Lee,Tyvon Branch,Matt Giordano,,,,,Peria Jerry,Lousaka Polite,,Lamarr Houston,,Matt Shaughnessy,,,,,,,,,,,Asante Samuel,,,Sean Weatherspoon,William Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2012,October 14,6,New York Jets,Indianapolis Colts,Rex Ryan,Chuck Pagano,3-3,2-3,outdoors,fieldturf,New York Jets -3.0,44.0 (push),Mark Sanchez,Shonn Greene,Chaz Schilens,Dustin Keller,D'Brickashaw Ferguson,Matt Slauson,Nick Mangold,Brandon Moore,Austin Howard,,,,,,,,,,,,Andrew Luck,Vick Ballard,,Donnie Avery,Dwayne Allen,Anthony Castonzo,Jeff Linkenbach,Samson Satele,Mike McGlynn,Winston Justice,Drake Nevis,Antonio Johnson,Jerry Hughes,,,,Cassius Vaughn,Jerraud Powers,Tom Zbikowski,Antoine Bethea,Cory Redding,Kavell Conner,Dwight Freeney,Jerrell Freeman,Muhammad Wilkerson,Lex Hilliard,Mike DeVito,,,,,,Quinton Coples,,,,,,,,Kyle Wilson,,David Harris,Calvin Pace,LaRon Landry,Bart Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2012,October 14,6,Baltimore Ravens,Dallas Cowboys,John Harbaugh,Jason Garrett,5-1,2-3,outdoors,sportturf,Baltimore Ravens -3.0,45.0 (over),Joe Flacco,Ray Rice,Anquan Boldin,Ed Dickson,Michael Oher,Bobbie Williams,Matt Birk,Marshal Yanda,Kelechi Osemele,,,,,,,,Lardarius Webb,Cary Williams,Bernard Pollard,Ed Reed,Tony Romo,DeMarco Murray,Lawrence Vickers,Miles Austin,Jason Witten,Tyron Smith,Nate Livings,Phil Costa,Mackenzy Bernadeau,Doug Free,Kenyon Coleman,Jay Ratliff,Alex Albright,Bruce Carter,Sean Lee,DeMarcus Ware,Brandon Carr,Morris Claiborne,Danny McCray,Gerald Sensabaugh,,,,,Haloti Ngata,Vonta Leach,Ma'ake Kemoeatu,,,,,,Pernell McPhee,,,,,,,,,,Ray Lewis,,,Jameel McClain,,,,,,,,,,,,,,,,Courtney Upshaw,Albert McClellan,,,,,,,,,,,,,,,,,,,,,
83,2012,October 14,6,Cleveland Browns,Cincinnati Bengals,Pat Shurmur,Marvin Lewis,1-5,3-3,outdoors,grass ,Cincinnati Bengals -2.0,42.0 (over),Brandon Weeden,Trent Richardson,Josh Cribbs,Ben Watson,Joe Thomas,Jason Pinkston,Alex Mack,Shawn Lauvao,Mitchell Schwartz,Jabaal Sheard,,,Frostee Rucker,James-Michael Johnson,D'Qwell Jackson,Kaluka Maiava,Joe Haden,Sheldon Brown,T.J. Ward,Usama Young,Andy Dalton,,,A.J. Green,Jermaine Gresham,,Clint Boling,Jeff Faine,Kevin Zeitler,,Geno Atkins,Domata Peko,Manny Lawson,Rey Maualuga,Vontaze Burfict,,Terence Newman,Leon Hall,Nate Clements,Reggie Nelson,,,,,Billy Winn,,,Robert Geathers,,Michael Johnson,,,,,,,,,,,,,,,,,,,,,,BenJarvus Green-Ellis,,,,,,,,Andrew Whitworth,Andre Smith,,,,,,,,,,,,,,,,,,,,,,,
84,2012,October 14,6,Philadelphia Eagles,Detroit Lions,Andy Reid,Jim Schwartz,3-3,2-3,outdoors,grass ,Philadelphia Eagles -3.5,47.5 (over),Michael Vick,LeSean McCoy,Jeremy Maclin,Brent Celek,Demetress Bell,Evan Mathis,Dallas Reynolds,Danny Watkins,Todd Herremans,Jason Babin,Cullen Jenkins,Derek Landri,Trent Cole,,DeMeco Ryans,,Dominique Rodgers-Cromartie,Nnamdi Asomugha,Nate Allen,Kurt Coleman,Matthew Stafford,Mikel Leshoure,,Nate Burleson,Brandon Pettigrew,Jeff Backus,Rob Sims,Dominic Raiola,Stephen Peterman,Gosder Cherilus,Ndamukong Suh,,,Stephen Tulloch,,,Chris Houston,Jacob Lacey,Amari Spievey,Louis Delmas,,,,,,,,Cliff Avril,,Kyle Vanden Bosch,,,,,,Justin Durant,,,,,Brandon Boykin,,,,,,,,,,,,,,,,,,,,,,Mychal Kendricks,,,,,,,,,,,,,,,,,,,,,
85,2012,October 14,6,Seattle Seahawks,New England Patriots,Pete Carroll,Bill Belichick,4-2,3-3,outdoors,fieldturf ,New England Patriots -4.0,42.5 (over),Russell Wilson,Marshawn Lynch,Golden Tate,Anthony McCoy,Russell Okung,James Carpenter,Max Unger,Paul McQuistan,Breno Giacomini,Red Bryant,Alan Branch,Brandon Mebane,Chris Clemons,,Bobby Wagner,,Richard Sherman,Brandon Browner,Kam Chancellor,Earl Thomas,Tom Brady,Aaron Hernandez,,Brandon Lloyd,Rob Gronkowski,Nate Solder,Logan Mankins,Ryan Wendell,Dan Connolly,Sebastian Vollmer,Vince Wilfork,,,,,,Devin McCourty,Kyle Arrington,,,,,,,,,,Jermaine Cunningham,,Chandler Jones,,Tavon Wilson,,,,,,,,,Marcus Trufant,,,K.J. Wright,,,Jerod Mayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2012,October 14,6,Arizona Cardinals,Buffalo Bills,Ken Whisenhunt,Chan Gailey,4-2,3-3,retractable roof (closed),grass ,Arizona Cardinals -5.0,44.0 (under),Kevin Kolb,LaRod Stephens-Howling,Andre Roberts,Jeff King,D'Anthony Batiste,Daryn Colledge,Lyle Sendlein,Adam Snyder,Bobby Massie,,,,,,,,Patrick Peterson,William Gay,Adrian Wilson,Kerry Rhodes,Ryan Fitzpatrick,Fred Jackson,Corey McIntyre,Steve Johnson,,Chris Hairston,Andy Levitre,Eric Wood,Chad Rinehart,Erik Pears,,Kyle Williams,Nigel Bradham,Kelvin Sheppard,Nick Barnett,,Aaron Williams,Stephon Gilmore,George Wilson,Jairus Byrd,,,,,Darnell Dockett,Reagan Maui'a,,Mario Williams,,Chris Kelsay,,,Calais Campbell,Daryl Washington,,,,O'Brien Schofield,,Sam Acho,Jamell Fleming,,,,,,,,Marcell Dareus,Keith Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2012,October 14,6,San Francisco 49ers,New York Giants,Jim Harbaugh,Tom Coughlin,4-2,4-2,outdoors,grass ,San Francisco 49ers -7.0,46.5 (under),Alex Smith,Frank Gore,Mario Manningham,Vernon Davis,Joe Staley,Mike Iupati,Jonathan Goodwin,Alex Boone,Anthony Davis,,Ray McDonald,Justin Smith,,,,,Carlos Rogers,Tarell Brown,Donte Whitner,Dashon Goldson,Eli Manning,Ahmad Bradshaw,Henry Hynoski,Victor Cruz,Martellus Bennett,Will Beatty,Kevin Boothe,David Baas,Chris Snee,Sean Locklear,,,,Chase Blackburn,Michael Boley,,Corey Webster,Prince Amukamara,Stevie Brown,Antrel Rolle,Osi Umenyiora,,,,,,Isaac Sopoaga,Justin Tuck,,Jason Pierre-Paul,,,,Patrick Willis,Jayron Hosley,,,,,,,,,Aldon Smith,,,,,Linval Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2012,October 14,6,Washington Redskins,Minnesota Vikings,Mike Shanahan,Leslie Frazier,3-3,4-2,outdoors,grass ,Minnesota Vikings -2.0,44.0 (over),Robert Griffin III,Alfred Morris,Leonard Hankerson,Darrel Young,Trent Williams,Kory Lichtensteiger,Will Montgomery,Chris Chester,Tyler Polumbus,Jarvis Jenkins,,,Stephen Bowen,,London Fletcher,,DeAngelo Hall,Josh Wilson,Reed Doughty,Madieu Williams,Christian Ponder,,Rhett Ellison,Michael Jenkins,Kyle Rudolph,Matt Kalil,Charlie Johnson,John Sullivan,Brandon Fusco,Phil Loadholt,,Letroy Guion,Chad Greenway,Jasper Brinkley,Erin Henderson,,Antoine Winfield,Chris Cook,Jamarca Sanford,Harrison Smith,,,,,,,Barry Cofield,Brian Robison,,Jared Allen,,,,,,,,,,,,,,Rob Jackson,,,,,,,,Adrian Peterson,,,,,,,,,,,,,,,Kevin Williams,,,Perry Riley,,,,,,,,,,,,,,
89,2012,October 14,6,Houston Texans,Green Bay Packers,Gary Kubiak,Mike McCarthy,5-1,3-3,retractable roof (closed),grass ,Houston Texans -4.0,46.5 (over),Matt Schaub,Arian Foster,Andre Johnson,Owen Daniels,Duane Brown,Wade Smith,Brice McCain,Antoine Caldwell,Derek Newton,,,,,Brooks Reed,,Connor Barwin,Kareem Jackson,Johnathan Joseph,Danieal Manning,Glover Quin,Aaron Rodgers,Alex Green,,Jordy Nelson,Tom Crabtree,Marshall Newhouse,T.J. Lang,Jeff Saturday,Josh Sitton,Bryan Bulaga,,Ryan Pickett,,D.J. Smith,,,Tramon Williams,Sam Shields,Charles Woodson,Morgan Burnett,,,,,,James Casey,,Jerel Worthy,Nick Perry,C.J. Wilson,Clay Matthews,,J.J. Watt,Bradie James,,,,,,,,,,,Troy Nolan,,,,,,,,,,,,,,,,,,,,,,,,,,,A.J. Hawk,,,,,,,,,,,,
90,2012,October 15,6,San Diego Chargers,Denver Broncos,Norv Turner,John Fox,3-3,3-3,outdoors,grass ,Pick,47.5 (over),Philip Rivers,Ryan Mathews,Malcom Floyd,Randy McMichael,Mike Harris,Tyronne Green,Nick Hardwick,Louis Vasquez,Jeromey Clary,Vaughn Martin,,,Corey Liuget,,,,Quentin Jammer,Antoine Cason,Atari Bigby,Eric Weddle,Peyton Manning,Willis McGahee,,Demaryius Thomas,Virgil Green,Ryan Clady,Zane Beadles,Dan Koppen,Chris Kuper,Orlando Franklin,Kevin Vickerson,Justin Bannan,Von Miller,Keith Brooking,Wesley Woodyard,,Champ Bailey,Chris Harris Jr.,Mike Adams,Rahim Moore,,,,,Aubrayo Franklin,,,Derek Wolfe,,Elvis Dumervil,,,,Donald Butler,,,,,,,,,,Jarret Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
