,date,week,year,seasonNumber,home,away,homeScore,awayScore,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeRB,homeWR,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeLDE,homeLDT,homeRDT,homeRDE,homeOLB,homeMLB,homeLCB,homeRCB,homeSS,homeFS,awayQB,awayRB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayLDE,awayLDT,awayRDT,awayRDE,awayLOLB,awayLILB,awayRILB,awayLCB,awayRCB,awaySS,awayFS,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,away Third Down Conv.,home Third Down Conv.,away Fourth Down Conv.,home Fourth Down Conv.,away Time of Possession,home Time of Possession,awayFB,awayILB,awayNT,awayOLB,homeDT,homeFB,homeNT,homeSLB,homeWLB,awayMLB,awaySLB,awayWLB,homeDB,homeHB,homeLLB,homeRLB,homeLOT,homeROT,awayHB,awayUT,awayROLB,awayX,awayZ,awayLLB,awayRLB,awaySAM,awayWILL,awayDB,awayDT,awayS,homeCB,homeDE,homeBLB,homeLOLB,homeROLB,awayDE,homeZ,homeLILB,homeRILB,awayLOT,awayROT,homeILB,awayCB,awayBLB,homeUT,homeSAM,homeWIL,homeX,awayFL,awaySE,homeLB,homeFL,homeSE,homeS,awayWIL,awayLB,awayE,awayT,homeDL
66,October 6,5,2002,83,Dallas Cowboys,New York Giants,17,21,Dave Campo,Jim Fassel,2-3,3-2,outdoors,astroturf,New York Giants -1.5,34.5 (over),Quincy Carter,Emmitt Smith,Joey Galloway,Tony McGee,Flozell Adams,Kelvin Garmon,Matt Lehr,Solomon Page,Larry Allen,Greg Ellis,,,Ebenezer Ekuban,,Keith Adams,Derek Ross,Mario Edwards,Darren Woodson,,Kerry Collins,Tiki Barber,Ike Hilliard,Jeremy Shockey,Luke Petitgout,Rich Seubert,Chris Bober,Jason Whittle,Mike Rosenthal,Michael Strahan,Cornelius Griffin,Keith Hamilton,Kenny Holmes,,,,Will Allen,Will Peterson,Shaun Williams,Omar Stoutmire,16,20,28-104-0,24-95-1,18-27-228-3-1,23-42-262-1-0,2-16,3-17,212,245,316,340,4-1,0-0,2,0,6-48,5-37,6-13,8-17,0-0,0-2,28:50,31:10,,,,Daryl Jones,La'Roi Glover,Robert Thomas,Brandon Noble,Kevin Hardy,Dexter Coakley,Micheal Barrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,October 6,5,2002,83,Tennessee Titans,Washington Redskins,14,31,Jeff Fisher,Steve Spurrier,1-4,2-2,outdoors,grass,Tennessee Titans -3.5,43.5 (over),Steve McNair,Eddie George,Kevin Dyson,Frank Wycheck,Brad Hopkins,Zach Piller,Gennaro DiNapoli,Benji Olson,Fred Miller,Kevin Carter,John Thornton,Henry Ford,Carlos Hall,,Randall Godfrey,Andre Dyson,Samari Rolle,Tank Williams,Lance Schulters,Danny Wuerffel,Stephen Davis,Chris Doering,Zeron Flemister,Chris Samuels,David Loverne,Larry Moore,Brendan Stai,Jon Jansen,Renaldo Wynn,Dan Wilkinson,Daryl Gardener,Bruce Smith,,,,Champ Bailey,Fred Smoot,Darrell Green,David Terrell,25,17,30-156-1,15-59-1,22-38-293-3-0,24-39-245-1-3,1-7,4-15,286,230,442,289,2-0,2-1,0,4,7-46,7-46,8-14,2-11,0-0,1-2,34:12,25:48,,,,,,,,,,Jeremiah Trotter,LaVar Arrington,Jessie Armstead,Donald Mitchell,,,Keith Bulluck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,October 6,5,2002,83,Denver Broncos,San Diego Chargers,26,9,Mike Shanahan,Marty Schottenheimer,4-1,4-1,outdoors,grass,Denver Broncos -6.5,39.5 (under),Brian Griese,Clinton Portis,Ed McCaffrey,Shannon Sharpe,Ephraim Salaam,Ben Hamilton,Tom Nalen,Dan Neil,Matt Lepsis,Trevor Pryce,Lional Dalton,Chester McGlockton,Kavika Pittman,,Al Wilson,Deltha O'Neal,Denard Walker,Kenoy Kennedy,Izell Reese,Drew Brees,LaDainian Tomlinson,Tim Dwight,Stephen Alexander,Damion McIntosh,Bob Hallen,Jason Ball,Toniu Fonoti,Vaughn Parker,Marcellus Wiley,Jamal Williams,Jason Fisk,Raylee Johnson,,,,Alex Molden,Ryan McNeil,Rodney Harrison,Rogers Beckett,16,20,18-79-0,31-117-0,26-42-235-1-2,26-35-316-2-1,0-0,2-16,235,300,314,417,2-1,0-0,3,1,5-41,6-50,8-15,7-15,0-0,1-1,26:13,33:47,Fred McCrary,,,,,,,John Mobley,Ian Gold,Donnie Edwards,Ben Leber,Zeke Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,October 6,5,2002,83,New York Jets,Kansas City Chiefs,25,29,Herm Edwards,Dick Vermeil,1-4,3-2,outdoors,grass,Kansas City Chiefs -3.0,46.5 (over),Chad Pennington,Curtis Martin,Santana Moss,Anthony Becht,Jason Fabini,J.P. Machado,Kevin Mawae,Randy Thomas,Kareem McKenzie,Shaun Ellis,Josh Evans,,John Abraham,,Marvin Jones,Donnie Abraham,Aaron Beasley,Sam Garnes,Damien Robinson,Trent Green,Priest Holmes,Eddie Kennison,Tony Gonzalez,Willie Roaf,Brian Waters,Casey Wiegmann,Will Shields,John Tait,Eric Hicks,John Browning,,Duane Clemons,Lewis Bush,,,Eric Warfield,William Bartee,Greg Wesley,Jason Belser,24,23,28-215-1,27-147-1,23-33-296-2-1,22-29-237-2-1,1-7,3-25,289,212,504,359,0-0,0-0,1,1,7-65,4-25,5-10,6-11,0-0,0-0,30:59,29:01,Tony Richardson,,Ryan Sims,,,Richie Anderson,Jason Ferguson,Mo Lewis,Sam Cowart,Marvcus Patton,,,,,,,,,,,Mike Maslowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,October 6,5,2002,83,Jacksonville Jaguars,Philadelphia Eagles,28,25,Tom Coughlin,Andy Reid,3-1,3-2,outdoors,grass,Philadelphia Eagles -3.0,42.5 (over),Mark Brunell,Fred Taylor,Jimmy Smith,Kyle Brady,Zach Wiegert,Brad Meester,John Wade,Chris Naeole,Maurice Williams,Marco Coleman,Marcus Stroud,John Henderson,Tony Brackens,,,Fernando Bryant,Jason Craft,Donovin Darius,Marlon McCree,Donovan McNabb,Duce Staley,Todd Pinkston,Chad Lewis,Tra Thomas,Doug Brzezinski,Hank Fraley,Jermane Mayberry,Jon Runyan,Brandon Whiting,Paul Grasmanis,Darwin Walker,Hugh Douglas,,,,Troy Vincent,Bobby Taylor,Blaine Bishop,Brian Dawkins,28,16,30-199-1,27-70-1,28-48-230-2-0,13-23-197-1-0,5-23,1-0,207,197,406,267,0-0,0-0,0,0,10-75,4-21,7-17,2-11,3-4,1-1,34:58,25:02,,,,,,,,,,Levon Kirkland,Carlos Emmons,Shawn Barber,Ainsley Battles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Danny Clark,,,,,,,,
71,October 6,5,2002,83,San Francisco 49ers,St. Louis Rams,37,13,Steve Mariucci,Mike Martz,3-1,0-5,outdoors,grass,San Francisco 49ers -6.0,41.5 (over),Jeff Garcia,Garrison Hearst,Eric Johnson,,Derrick Deese,Eric Heitmann,Jeremy Newberry,Ron Stone,Scott Gragg,Chike Okeafor,Bryant Young,Dana Stubblefield,Andre Carter,,,Ahmed Plummer,Jason Webster,Tony Parrish,Zack Bronson,Jamie Martin,Marshall Faulk,Torry Holt,Brandon Manumaleuna,Grant Williams,Tom Nutten,Andy McCollum,Adam Timmerman,John St. Clair,Leonard Little,Ryan Pickett,Jeff Zgonina,Grant Wistrom,,,,Travis Fisher,Dre' Bly,Adam Archuleta,Kim Herring,19,21,24-88-0,27-179-2,23-40-232-1-2,18-27-214-1-0,1-7,1-7,225,207,313,386,1-0,0-0,2,0,4-40,4-27,4-14,4-9,3-3,0-0,30:54,29:06,,,,,,Fred Beasley,,,,Jamie Duncan,Robert Thomas,Don Davis,,,,,,,,,,,,,,,,,,,,,,Julian Peterson,,,,Derek Smith,Jeff Ulbrich,,,,,,,,,,,,,,,,,,,,
72,October 6,5,2002,83,Cleveland Browns,Baltimore Ravens,21,26,Butch Davis,Brian Billick,2-3,2-2,outdoors,grass,Cleveland Browns -6.0,36.5 (over),Tim Couch,William Green,Kevin Johnson,Mark Campbell,Ross Verba,Barry Stokes,Dave Wohlabaugh,Shaun O'Hara,Ryan Tucker,Kenard Lang,Gerard Warren,Orpheus Roye,Courtney Brown,,Earl Holmes,Anthony Henry,Daylon McCutcheon,Robert Griffith,Devin Bush Sr.,Chris Redman,Jamal Lewis,Travis Taylor,Todd Heap,,Edwin Mulitalo,Mike Flynn,Bennie Anderson,Ethan Brooks,Anthony Weaver,,,Adalius Thomas,Cornell Brown,Ed Hartwell,Ray Lewis,Chris McAlister,Gary Baxter,Will Demps,Ed Reed,18,21,34-201-0,17-62-0,19-30-208-2-0,29-49-396-3-4,0-0,2-25,208,371,409,433,1-1,3-1,1,5,7-65,9-117,6-15,7-15,0-0,2-2,30:51,29:09,,,Kelly Gregg,,,,,Darren Hambrick,Dwayne Rudd,,,,,,,,,,,,Peter Boulware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,October 7,5,2002,83,Chicago Bears,Green Bay Packers,21,34,Dick Jauron,Mike Sherman,2-3,4-1,outdoors,astroplay,Chicago Bears -1.0,44.0 (over),Jim Miller,Anthony Thomas,Marty Booker,John Davis,Bernard Robertson,Rex Tucker,Olin Kreutz,Chris Villarrial,James Williams,Bryan Robinson,Alfonso Boone,Keith Traylor,Phillip Daniels,,Brian Urlacher,R.W. McQuarters,Jerry Azumah,Michael Green,Mike Brown,Brett Favre,Ahman Green,Terry Glenn,Bubba Franks,Chad Clifton,Mike Wahle,Mike Flanagan,Marco Rivera,Earl Dotson,Aaron Kampman,,,Joe Johnson,,,,Tod McBride,Tyrone Williams,Matt Bowen,Darren Sharper,20,20,30-124-0,16-45-0,22-33-359-3-0,27-50-353-3-3,3-26,3-18,333,335,457,380,3-1,2-1,1,4,5-49,7-65,3-13,6-15,1-1,1-3,31:04,28:56,William Henderson,,Gilbert Brown,,,Daimon Shelton,,Rosevelt Colvin,Mike Caldwell,Hardy Nickerson,Na'il Diggs,Nate Wayne,,,,,,,,,,,,,,,,,Cletidus Hunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,October 13,6,2002,83,Indianapolis Colts,Baltimore Ravens,22,20,Tony Dungy,Brian Billick,4-1,2-3,dome,astroturf,Indianapolis Colts -6.5,42.0 (push),Peyton Manning,Edgerrin James,Qadry Ismail,Marcus Pollard,Tarik Glenn,Waverly Jackson,Jeff Saturday,Ryan Diem,Adam Meadows,Brad Scioli,Josh Williams,James Cannida,Chad Bratzke,,Rob Morris,Walt Harris,David Macklin,Jason Doering,Idrees Bashir,Chris Redman,Jamal Lewis,Travis Taylor,Todd Heap,,Edwin Mulitalo,Casey Rabach,Bennie Anderson,Ethan Brooks,Anthony Weaver,,,Marques Douglas,Peter Boulware,,Cornell Brown,Chris McAlister,Gary Baxter,Will Demps,Ed Reed,15,19,26-105-2,19-60-0,15-28-163-0-1,30-40-284-1-1,3-24,5-27,139,257,244,317,7-2,1-0,3,1,5-52,9-70,4-13,3-13,1-1,0-0,28:59,31:01,Alan Ricard,,Kelly Gregg,,,,,,,Ed Hartwell,,,,,Mike Peterson,Marcus Washington,,,,,,,,,,,,James Trapp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,October 13,6,2002,83,Minnesota Vikings,Detroit Lions,31,24,Mike Tice,Marty Mornhinweg,1-4,1-4,dome,astroturf,Minnesota Vikings -4.5,49.0 (over),Daunte Culpepper,Michael Bennett,Randy Moss,,Lewis Kelly,Corbin Lacina,Matt Birk,David Dixon,Chris Liwienski,Kenny Mixon,Fred Robbins,Chris Hovan,Lance Johnstone,,Greg Biekert,Corey Chavous,Tyrone Carter,Willie Offord,Ronnie Bradford,Joey Harrington,,Az-Zahir Hakim,Mikhael Ricks,Jeff Backus,Tony Semple,Dominic Raiola,Ray Brown,Stockar McDougle,Robert Porcher,Luther Elliss,James Hall,Kalimba Edwards,,,,Chris Cash,Todd Lyght,Corey Harris,Lamar Campbell,17,22,17-53-0,25-111-2,25-41-309-2-1,27-36-295-2-1,1-8,1-4,301,291,354,402,0-0,0-0,1,1,5-56,10-75,4-13,5-12,1-2,0-1,28:20,31:40,Cory Schlesinger,,,,,,,Patrick Chukwurah,Antonio Wilson,,Jimmy Wyrick,Jeff Gooch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andre' Goodman,,,,,,,,,,,,,,,,
76,October 13,6,2002,83,Tampa Bay Buccaneers,Cleveland Browns,17,3,Jon Gruden,Butch Davis,5-1,2-4,outdoors,grass,Tampa Bay Buccaneers -7.5,36.5 (under),Brad Johnson,Michael Pittman,Keyshawn Johnson,Ken Dilger,Roman Oben,Kerry Jenkins,Jeff Christy,Cosey Coleman,Kenyatta Walker,Greg Spires,,,Simeon Rice,,Shelton Quarles,Brian Kelly,Ronde Barber,John Lynch,Dexter Jackson,Tim Couch,Jamel White,Quincy Morgan,Mark Campbell,Ross Verba,Barry Stokes,Melvin Fowler,Shaun O'Hara,Ryan Tucker,Kenard Lang,Gerard Warren,Orpheus Roye,Courtney Brown,,,,Anthony Henry,Daylon McCutcheon,Earl Little,Devin Bush Sr.,11,22,18-60-0,38-186-2,20-40-151-0-1,15-32-194-0-1,2-17,0-0,134,194,194,380,0-0,0-0,1,1,8-66,5-45,6-17,6-14,0-0,0-1,26:26,33:34,,,,,Warren Sapp,Mike Alstott,Anthony McFarland,Alshermond Singleton,Derrick Brooks,Earl Holmes,Darren Hambrick,Dwayne Rudd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,October 13,6,2002,83,Washington Redskins,New Orleans Saints,27,43,Steve Spurrier,Jim Haslett,2-3,5-1,outdoors,grass,New Orleans Saints -1.5,45.5 (over),Patrick Ramsey,Stephen Davis,Chris Doering,,Chris Samuels,Larry Moore,Wilbert Brown,Brendan Stai,Jon Jansen,Renaldo Wynn,Dan Wilkinson,Daryl Gardener,Bruce Smith,,Jeremiah Trotter,Champ Bailey,Fred Smoot,Darrell Green,David Terrell,Aaron Brooks,Deuce McAllister,Joe Horn,David Sloan,Kyle Turley,Kendyl Jacox,Jerry Fontenot,LeCharles Bentley,Spencer Folau,Charles Grant,,,Darren Howard,,,,Ken Irvin,Fred Thomas,Sammy Knight,Jay Bellamy,16,20,34-119-0,17-54-2,12-23-205-3-1,21-43-320-1-4,2-13,7-56,192,264,311,318,1-0,1-1,1,5,12-90,11-87,6-16,4-13,0-0,2-4,32:20,27:40,Jake Reed,,,Sedrick Hodge,,Bryan Johnson,,LaVar Arrington,Jessie Armstead,Charlie Clemons,,,,,,,,,,,,,,,,,,,Grady Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,October 13,6,2002,83,New England Patriots,Green Bay Packers,10,28,Bill Belichick,Mike Sherman,3-3,5-1,outdoors,grass,New England Patriots -4.5,47.0 (under),Tom Brady,Antowain Smith,David Patten,Christian Fauria,Matt Light,Mike Compton,Damien Woody,Steve Neal,Kenyatta Jones,Bobby Hamilton,,,Jarvis Green,Mike Vrabel,Tedy Bruschi,Ty Law,Otis Smith,Lawyer Milloy,Tebucky Jones,Brett Favre,Ahman Green,Terry Glenn,Bubba Franks,Chad Clifton,Mike Wahle,Mike Flanagan,Marco Rivera,Earl Dotson,Aaron Kampman,,,Kabeer Gbaja-Biamila,,,,Tod McBride,Tyrone Williams,Matt Bowen,Marques Anderson,20,20,36-158-1,22-123-0,17-27-147-3-0,24-44-183-1-3,1-4,2-17,143,166,301,289,1-0,2-1,0,4,5-60,12-126,5-14,6-13,1-1,1-2,32:13,27:47,,,Gilbert Brown,,Willie McGinest,,,,,Hardy Nickerson,Na'il Diggs,Nate Wayne,,,,,,,,,,,,,,,,,Cletidus Hunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,October 13,6,2002,83,Cincinnati Bengals,Pittsburgh Steelers,7,34,Dick LeBeau,Bill Cowher,0-6,2-3,outdoors,grass,Pittsburgh Steelers -6.5,40.5 (over),Jon Kitna,,Peter Warrick,Matt Schobel,,Matt O'Dwyer,Rich Braham,Scott Rehberg,,Vaughn Booker,Oliver Gibson,Tony Williams,Justin Smith,,Adrian Ross,Jeff Burris,Artrell Hawkins,Marquand Manuel,Cory Hall,Tommy Maddox,,,Mark Bruener,Wayne Gandy,Alan Faneca,Jeff Hartings,Kendall Simmons,Marvel Smith,,,,,Jason Gildon,James Farrior,Larry Foote,Chad Scott,Dewayne Washington,Lee Flowers,Brent Alexander,21,18,35-211-2,24-78-1,16-25-216-1-2,23-35-222-0-3,2-19,5-32,197,190,408,268,1-0,1-1,2,4,7-50,4-30,7-12,8-14,0-0,0-2,31:12,28:48,Dan Kreider,,Casey Hampton,,,,,,,,,,,Corey Dillon,Canute Curtis,Takeo Spikes,Levi Jones,Willie Anderson,Jerome Bettis,,Joey Porter,,,,,,,,,,,,,,,Aaron Smith,,,,,,,,,,,,,Hines Ward,Plaxico Burress,,,,,,,,,
80,October 13,6,2002,83,Houston Texans,Buffalo Bills,24,31,Dom Capers,Gregg Williams,1-4,3-3,retractable roof (closed),grass,Buffalo Bills -7.0,44.0 (over),David Carr,James Allen,Jermaine Lewis,Rod Rutledge,Chester Pitts,DeMingo Graham,Steve McKinney,Ryan Schau,Jimmy Herndon,Gary Walker,,,Jerry DeLoach,,Jamie Sharper,Aaron Glenn,Marcus Coleman,Eric Brown,Matt Stevens,Drew Bledsoe,Travis Henry,Josh Reed,,Jonas Jennings,Ruben Brown,Trey Teague,Marques Sullivan,Mike Williams,,Ron Edwards,Pat Williams,Aaron Schobel,,,,Antoine Winfield,Nate Clements,Coy Wire,Pierson Prioleau,25,18,33-173-2,29-141-1,19-33-254-2-0,13-24-223-2-0,3-24,5-26,230,197,403,338,3-1,1-0,1,0,13-128,11-75,6-14,3-12,0-0,1-2,33:22,26:38,Phillip Crosby,,,,,,Seth Payne,,,London Fletcher,Keith Newman,Eddie Robinson,,,,,,,,,,,,,,,,Chris Watson,,,,,Jay Foreman,Kailee Wong,Keith Mitchell,,,,,,,,,,,,,,,,,,,,,,,,
81,October 13,6,2002,83,New York Giants,Atlanta Falcons,10,17,Jim Fassel,Dan Reeves,3-3,2-3,outdoors,grass,New York Giants -6.0,35.5 (under),Kerry Collins,Tiki Barber,Ike Hilliard,Dan Campbell,Luke Petitgout,Rich Seubert,Chris Bober,Dusty Zeigler,Mike Rosenthal,Michael Strahan,Cornelius Griffin,Keith Hamilton,Frank Ferrara,Brandon Short,Micheal Barrow,Will Allen,Jason Sehorn,Shaun Williams,Omar Stoutmire,Doug Johnson,Warrick Dunn,Shawn Jefferson,Reggie Kelly,Bob Whitfield,Travis Claridge,Todd McClure,Kynan Forney,Todd Weiner,Patrick Kerney,,,Brady Smith,,,,Juran Bolden,Ashley Ambrose,Gerald McBurrows,Keion Carpenter,15,18,24-67-1,27-113-0,19-25-257-1-0,20-31-204-1-1,2-11,3-14,246,190,313,303,2-0,3-1,0,2,3-20,6-35,8-13,6-13,0-0,1-2,29:58,30:02,Bob Christian,John Holecek,Ed Jasper,Sam Rogers,,Charles Stackhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,October 13,6,2002,83,Dallas Cowboys,Carolina Panthers,14,13,Dave Campo,John Fox,3-3,3-3,outdoors,astroturf,Dallas Cowboys -2.0,35.0 (under),Quincy Carter,Emmitt Smith,Joey Galloway,Tony McGee,Flozell Adams,Larry Allen,Matt Lehr,Solomon Page,Javier Collins,Greg Ellis,,,Ebenezer Ekuban,,Keith Adams,Derek Ross,Duane Hawthorne,Darren Woodson,,Rodney Peete,Lamar Smith,Muhsin Muhammad,Wesley Walls,Todd Steussie,Melvin Tuten,Jeff Mitchell,Kevin Donnalley,Chris Terry,Julius Peppers,Brentson Buckner,Kris Jenkins,Mike Rucker,,,,Terry Cousin,Emmanuel McDaniel,Mike Minter,Deon Grant,14,17,34-110-0,24-137-0,16-27-198-1-0,15-32-225-2-1,0-0,6-51,198,174,308,311,0-0,2-1,0,2,14-106,9-71,5-16,3-13,0-0,2-3,33:36,26:24,Brad Hoover,,,,La'Roi Glover,Robert Thomas,Brandon Noble,Kevin Hardy,Dexter Coakley,Dan Morgan,Mark Fields,Hannibal Navies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,October 13,6,2002,83,Tennessee Titans,Jacksonville Jaguars,23,14,Jeff Fisher,Tom Coughlin,2-4,3-2,outdoors,grass,Jacksonville Jaguars -1.5,44.0 (under),Steve McNair,Eddie George,Drew Bennett,Frank Wycheck,Brad Hopkins,Zach Piller,Gennaro DiNapoli,Benji Olson,Fred Miller,Kevin Carter,Robaire Smith,Henry Ford,John Thornton,,Frank Chamberlin,Andre Dyson,Samari Rolle,Tank Williams,Lance Schulters,Mark Brunell,Fred Taylor,Patrick Johnson,Kyle Brady,Zach Wiegert,Brad Meester,John Wade,Chris Naeole,Maurice Williams,Marco Coleman,Marcus Stroud,John Henderson,Tony Brackens,,,,Fernando Bryant,Jason Craft,Donovin Darius,Marlon McCree,13,25,26-130-2,40-152-1,7-13-84-0-2,26-36-226-1-0,3-16,1-8,68,218,198,370,0-0,2-1,2,1,4-22,5-55,4-9,10-17,0-0,2-2,22:17,37:43,,,,,,Erron Kinney,,,,Wali Rainer,Akin Ayodele,Danny Clark,,,Peter Sirmon,Keith Bulluck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,October 13,6,2002,83,St. Louis Rams,Oakland Raiders,28,13,Mike Martz,Bill Callahan,1-5,4-1,dome,astroturf,Oakland Raiders -7.0,49.0 (under),Marc Bulger,Marshall Faulk,Isaac Bruce,Chris Hetherington,Grant Williams,Tom Nutten,Andy McCollum,Adam Timmerman,John St. Clair,Leonard Little,Ryan Pickett,Jeff Zgonina,Grant Wistrom,,,Aeneas Williams,Dre' Bly,Adam Archuleta,Kim Herring,Rich Gannon,,Jerry Rice,Roland Williams,Barry Sims,Matt Stinchcomb,Barret Robbins,Frank Middleton,Lincoln Kennedy,Chris Cooper,,,Tony Bryant,,,,Anthony Dorsett,Tory James,Derrick Gibson,Rod Woodson,20,19,17-65-0,32-158-1,30-45-332-1-2,14-21-186-3-0,4-30,3-22,302,164,367,322,4-1,1-1,3,1,14-107,11-82,3-11,4-11,0-2,0-0,28:14,31:46,,,,Bill Romanowski,,,,,Tommy Polley,Napoleon Harris,,,,,,,,,,,,,,,,,,,John Parrella,,Chad Cota,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,October 13,6,2002,83,San Diego Chargers,Kansas City Chiefs,35,34,Marty Schottenheimer,Dick Vermeil,5-1,3-3,outdoors,grass,San Diego Chargers -3.0,46.5 (over),Drew Brees,LaDainian Tomlinson,Tim Dwight,Josh Norman,Damion McIntosh,Bob Hallen,Jason Ball,Toniu Fonoti,Vaughn Parker,Adrian Dingle,Jamal Williams,Jason Fisk,Raylee Johnson,,Donnie Edwards,Alex Molden,Ryan McNeil,Rodney Harrison,Rogers Beckett,Trent Green,Priest Holmes,Eddie Kennison,Bill Baber,Willie Roaf,Brian Waters,Casey Wiegmann,Will Shields,John Tait,Eric Hicks,John Browning,,Duane Clemons,Scott Fujita,,,Eric Warfield,William Bartee,Shaunard Harts,Jason Belser,17,27,29-88-1,28-153-3,17-29-236-3-2,28-41-319-2-2,1-5,1-7,231,312,319,465,0-0,3-3,2,5,3-30,4-35,4-12,6-12,0-0,1-1,29:32,30:28,,,Ryan Sims,,,Fred McCrary,,Ben Leber,Junior Seau,Marvcus Patton,,,,,,,,,,,Mike Maslowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,October 13,6,2002,83,Denver Broncos,Miami Dolphins,22,24,Mike Shanahan,Dave Wannstedt,4-2,5-1,outdoors,grass,Denver Broncos -3.5,41.0 (over),Brian Griese,Clinton Portis,Ed McCaffrey,Shannon Sharpe,Ephraim Salaam,Ben Hamilton,Tom Nalen,Dan Neil,Matt Lepsis,Trevor Pryce,Lional Dalton,Chester McGlockton,Kavika Pittman,,Al Wilson,Deltha O'Neal,Denard Walker,Kenoy Kennedy,Izell Reese,Jay Fiedler,Ricky Williams,Oronde Gadsden,Randy McMichael,Marcus Spriggs,Jamie Nails,Tim Ruddy,Todd Perry,Todd Wade,Adewale Ogunleye,Tim Bowens,Larry Chester,Jason Taylor,Derrick Rodgers,,,Patrick Surtain,Sam Madison,Arturo Freeman,Brock Marion,16,27,23-58-2,26-111-0,19-29-210-0-1,27-46-335-1-2,1-9,3-36,201,299,259,410,1-1,2-1,2,3,8-42,9-70,5-11,6-16,0-0,0-0,25:55,34:05,Rob Konrad,,,,,,,John Mobley,Ian Gold,Zach Thomas,,,,,,,,,,,Morlon Greenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,October 14,6,2002,83,Seattle Seahawks,San Francisco 49ers,21,28,Mike Holmgren,Steve Mariucci,1-4,4-1,outdoors,fieldturf,San Francisco 49ers -3.0,43.5 (over),Trent Dilfer,Shaun Alexander,Koren Robinson,Itula Mili,Walter Jones,Chris Gray,Robbie Tobeck,Floyd Wedderburn,Floyd Womack,Lamar King,Chad Eaton,John Randle,Antonio Cochran,Chad Brown,Isaiah Kacyvenski,Shawn Springs,Ken Lucas,Reggie Tongue,Marcus Robertson,Jeff Garcia,Garrison Hearst,Terrell Owens,Eric Johnson,Derrick Deese,Eric Heitmann,Jeremy Newberry,Ron Stone,Scott Gragg,Chike Okeafor,Bryant Young,Dana Stubblefield,Andre Carter,,Derek Smith,Jeff Ulbrich,Ahmed Plummer,Jason Webster,Tony Parrish,Zack Bronson,24,24,31-161-1,30-123-1,16-29-202-2-0,21-31-212-1-2,2-12,1-1,190,211,351,334,0-0,2-0,0,2,8-51,10-80,7-12,10-15,0-0,0-0,29:31,30:29,Fred Beasley,,,,,Mack Strong,,,,,,,,,,,,,,,,,,Julian Peterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
